FileType	FilePath	Remark
2	Setting/Item/Equip/Weapon.tab	武器
2	Setting/Item/Equip/Armor.tab	衣服
2	Setting/Item/Equip/Amulet.tab	護身符
2	Setting/Item/Equip/Belt.tab	腰帶
2	Setting/Item/Equip/Boots.tab	鞋子
2	Setting/Item/Equip/Cuff.tab	護腕
2	Setting/Item/Equip/Helm.tab	頭盔
2	Setting/Item/Equip/Necklace.tab	項鍊
2	Setting/Item/Equip/Pendant.tab	腰墜
2	Setting/Item/Equip/Ring.tab	戒指
2	Setting/Item/Equip/WaiYi.tab	外裝
2	Setting/Item/Equip/WeaponShow.tab	武器外觀
1	Setting/Item/Other/ScriptItem.tab	腳本道具
1	Setting/Item/Other/EnhanceItem.tab	強化道具
1	Setting/Item/Other/Stone_piece.tab	寶石碎片
1	Setting/Item/Other/Stone_item.tab	鑲嵌寶石
1	Setting/Item/Other/Partner_equip.tab	同伴裝備
1	Setting/Item/Other/Partner_piece.tab	同伴碎片
1	Setting/Item/Other/UnidentifyItem.tab	未鑒定道具
1	Setting/Item/Other/EnchantItem.tab	附魔石道具
3	Setting/Item/Equip/Horse.tab	坐騎
1	Setting/Item/Other/PartnerWeapon.tab	同伴本命武器
1	Setting/Item/Other/PartnerSkillBook.tab	同伴技能書
1	Setting/Item/Other/Equip_piece.tab	裝備碎片
1	Setting/Item/Other/PartnerItem.tab	同伴道具
2	Setting/Item/Equip/SkillBook.tab	秘笈
2	Setting/Item/Equip/HorseEquip.tab	坐騎裝備
1	Setting/Item/Other/FurnitureItem.tab	傢俱道具
2	Setting/Item/Equip/HorseShow.tab	坐騎外裝
2	Setting/Item/Equip/ZhenYuan.tab	真元
