nPartsID	nThemeID	nType	nIcon	nGirlIcon	Desc
1	1	1	30012		默认：头像边框
2	1	2	30025		默认：聊天泡泡
3	2	1	30005		华山论剑冠军
4	2	2	30018		华山论剑冠军
5	3	1	30001	30007	门派大师兄\大师姐
6	3	2	30014	30020	门派大师兄\大师姐
7	4	1	30004		家族宝贝
8	4	2	30017		家族宝贝
9	5	1	30008		V13
10	5	2	30021		V13
11	6	1	30009		V15
12	6	2	30022		V15
13	7	1	30010		V18
14	7	2	30023		V18
15	8	1	30027		盛典上宾
16	8	2	30028		盛典上宾
17	9	1	30029		新年·如意吉祥
18	9	2	30030		新年·如意吉祥
19	10	1	30011		情人节·泛舟江湖情人结
20	10	2	30024		情人节·泛舟江湖情人结
21	11	1	30031		武林十大美女
22	11	2	30032		武林十大美女
23	12	1	30033		本服十大美女
24	12	2	30034		本服十大美女
25	13	1	30000		盛夏·夏树苍翠
26	13	2	30013		盛夏·夏树苍翠
27	14	1	30003		武林至尊
28	14	2	30016		武林至尊
29	15	1	30035		武林名侠
30	15	2	30036		武林名侠
31	16	1	30037		V8
32	16	2	30038		V8
33	17	1	30002		Efun至尊会员
34	17	2	30015		Efun至尊会员
