TemplateId	Faction	ChooseItem	Num	TimeFrame	Level	CheckLimit	ThisNeedCount	Desc
2153		1134	1					T3稀有項鍊
2153		1144	1					T3稀有戒指
2153		1154	1					T3稀有玉佩
2153		1164	1					T3稀有護身符
3521		1135	1					T4稀有項鍊
3521		1145	1					T4稀有戒指
3521		1155	1					T4稀有玉佩
3521		1165	1					T4稀有護身符
3522		1136	1					T5稀有項鍊
3522		1146	1					T5稀有戒指
3522		1156	1					T5稀有玉佩
3522		1166	1					T5稀有護身符
3523		1137	1					T6稀有項鍊
3523		1147	1					T6稀有戒指
3523		1157	1					T6稀有玉佩
3523		1167	1					T6稀有護身符
2306		1135	1					
2306		1145	1					
2306		1155	1					
2306		1165	1					
2307		1175	1					
2307		1195	1					
2307		1205	1					
2307		1215	1					
2424	1	2398	1					
2424	1	2401	1					
2424	1	2719	1					
2424	1	2402	1					
2424	2	2720	1					
2424	2	2403	1					
2424	2	2404	1					
2424	2	2405	1					
2424	4	2721	1					
2424	4	2406	1					
2424	4	2407	1					
2424	4	2408	1					
2424	3	2409	1					
2424	3	2722	1					
2424	3	2410	1					
2424	3	2411	1					
2424	5	2412	1					
2424	5	2414	1					
2424	5	2413	1					
2424	5	2723	1					
2424	6	2724	1					
2424	6	2415	1					
2424	6	2416	1					
2424	6	2417	1					
2424	7	2713	1					
2424	7	2714	1					
2424	7	2715	1					
2424	7	2749	1					
2424	8	2716	1					
2424	8	2717	1					
2424	8	2718	1					
2424	8	2750	1					
2424	9	3267	1					
2424	9	3268	1					
2424	9	3269	1					
2424	9	3270	1					
2424	10	3271	1					
2424	10	3272	1					
2424	10	3273	1					
2424	10	3274	1					
2424	11	4021	1					
2424	11	4022	1					
2424	11	4023	1					
2424	11	4024	1					
2424	12	4025	1					
2424	12	4026	1					
2424	12	4027	1					
2424	12	4028	1					
2424	13	5201	1					
2424	13	5202	1					
2424	13	5203	1					
2424	13	5204	1					
2424	14	5205	1					
2424	14	5206	1					
2424	14	5207	1					
2424	14	5208	1					
2424		4579	1	OpenLevel119			30	提高技能上限1
2424		4580	1	OpenLevel119			30	提高技能上限2
2424		4581	1	OpenLevel119			30	提高技能上限3
2424		4582	1	OpenLevel119			30	提高技能上限4
2699		2528	1			1		【4級魂石任選】初級魂石·楊瑛
2699		2529	1					初級魂石·清曉師太
2699		2530	1					初級魂石·祝子虛
2699		2531	1					初級魂石·黃暮雲
2699		2532	1	OpenLevel69				初級魂石·道一真人
2699		2533	1					初級魂石·端木睿
2699		1754	1	OpenLevel89				初級魂石·赤睛虎皇
2699		1755	1	OpenLevel89				初級魂石·撼天熊皇
2699		1756	1	OpenLevel89				初級魂石·紫背鱷皇
2699		1757	1	OpenLevel69				初級魂石·定海金剛
2699		1758	1	OpenLevel69				初級魂石·金翅鵬皇
2699		1759	1	OpenLevel69				初級魂石·銀角犀皇
2699		2534	1					初級魂石·孟知秋
2699		2535	1					初級魂石·李顯忠
