SoundID	Desc	Bank	Sound
1	测试	Ui	Play_SMS_Receive
2	片头动画01	Movie	Play_CG01
3	片头动画02	Movie	Play_CG02
4	新手战场动画10秒	Movie	Play_CG03
5	片头CG背景音乐音效	Movie	Play_CG00
6	恶人谷06	Movie	Play_CG04
8	点唱机	Album	Play_HuaDiWeiLao
10	剑侠情	Album	Play_JianXiaQing
11	画地为牢	Album	Play_HuaDiWeiLao
12	三生三世	Album	Play_SanShengSanShi
13	剑侠情缘	Album	Play_JianXiaQing
14	笑问情缘	Album	Play_XiaoWenQingYuan
15	天仙子	Album	Play_TianXianZi
16	爱的废墟女声版	Album	Play_AiDeFeiXuVocal
17	与情缘书	Theme	Play_Theme_YuQingYuanShu
	老登录界面音乐	Bgm	Play_Bgm_Login
20	战场音乐	Bgm	Play_Bgm_Zhanchang
21	战场准备区大英雄-歌曲	Album	Play_DaYingXiong
30	随机秘境-BOSS战斗音乐	Bgm	Play_Bgm_Battle_New
31	BOSS战斗音乐	Bgm	Play_Bgm_Battle_New
32	BOSS战斗音乐	Bgm	Play_Bgm_Battle_New
33	BOSS战斗音乐	Bgm	Play_Bgm_Battle_New
34	BOSS战斗音乐	Bgm	Play_Bgm_Battle_New
35	BOSS战斗音乐	Bgm	Play_Bgm_Battle_New
40	动画峨嵋轻功	Movie	Play_Movie_Em_Qg
41	动画桃花轻功	Movie	Play_Movie_Th_Qg
42	动画天忍轻功	Movie	Play_Movie_Tr_Qg
43	动画天王轻功	Movie	Play_Movie_Tw_Qg
44	动画武当轻功	Movie	Play_Movie_Wd_Qg
45	动画逍遥轻功	Movie	Play_Movie_Xy_Qg
46	2-6卓非凡出场	Movie	Play_CG05_chuchang
47	2-6卓非凡被杀	Movie	Play_CG06_jisha
48	3-7纳兰潜凛出场	Movie	Play_CG07_nalan
49	7-7张琳心掉崖	Movie	Play_CG08_tiaoya
50	6-3无相出场	Movie	Play_CG09_wuxiang
1001	主城婚礼BGM	Wedding	Play_Bgm_Wedding01
1002	主城花车巡游	Wedding	Play_Bgm_Wedding02
1003	婚礼现场小场景	Wedding	Play_Bgm_Wedding03
1004	金属锣	Ui_Inst	Play_UI_Inst_Gong
1005	鼓	Ui_Inst	Play_UI_Inst_Gu
1006	罄	Ui_Inst	Play_UI_Inst_Qin
1007	编钟	Ui_Inst	Play_UI_Inst_Zhong
1008	婚礼CG音乐-全程热烈带音效	Weedding_CG	Play_Wedding_CG02
1009	婚礼CG音乐-气氛稍低带音效	Weedding_CG	Play_Wedding_CG01
1010	婚礼房间音乐-三首顺序循环播放	Wedding	Play_Wedding_Album
5200	天王登场	Tw	Play_Tw_Dc
5201	天王锤法一式	Tw	Play_Tw01_01
5202	天王锤法二式	Tw	Play_Tw01_01
5203	天王锤法三式	Tw	Play_Tw01_01
5204	天王锤法四式	Tw	Play_Tw01_04
5206	天王野蛮冲撞	Tw	Play_Tw02
5208	天王霸王怒吼	Tw	Play_Tw03
5210	天王血战八方	Tw	Play_Tw05
5213	天王乾坤倒转	Tw	Play_Tw04
5214	天王怒气技日月山河碎	Tw	Play_Tw_00
5300	峨嵋登场	Em	Play_Em_Dc
5301	峨眉剑法一式	Em	Play_Em_01_01
5302	峨眉剑法二式	Em	Play_Em_01_03
5303	峨眉剑法三式	Em	Play_Em_01_02
5304	峨眉剑法四式	Em	Play_Em_01_04
5305	峨嵋剑法被击	Em	Play_Em_01_Hit
5306	峨眉慈航普渡	Em	Play_Em_02_01
5308	峨眉白露凝霜	Em	Play_Em_03_01
5309	峨嵋白露被击	Em	Play_Em_03_Hit
5310	峨眉江海凝波	Em	Play_Em_04_01
5311	峨嵋四招被击	Em	Play_Em_04_Hit
5312	峨眉天舞宝轮	Em	Play_Em_05_01
5313	峨嵋五招被击	Em	Play_Em_05_Hit
5346	峨眉怒气技冰魄红莲劫	Em	Play_Em_00
5400	桃花登场	Th	Play_Th_Dc
5401	桃花箭术一式	Th	Play_Th_01_01
5402	桃花箭术二式	Th	Play_Th_01_02
5403	桃花箭术三式	Th	Play_Th_01_01
5404	桃花箭术四式	Th	Play_Th_01_03
5405	桃花箭术被击	Th	Play_Th_01_Hit
5406	桃花火凤燎原	Th	Play_Th_02_01
5407	桃花飞火流星	Th	Play_Th_03_01
5408	桃花三招被击	Th	Play_Th_03_Hit
5410	桃花九曜连珠	Th	Play_Th_04_01
5411	桃花四招被击	Th	Play_Th_04_Hit
5412	桃花穿云破月	Th	Play_Th_05_01
5413	桃花五招被击	Th	Play_Th_05_Hit
5427	桃花怒气技落花焚星焱	Th	Play_Th_00
5500	逍遥登场	Xy	Play_Xy_Dc
5501	逍遥枪法一式	Xy	Play_Xy_01_01
5502	逍遥枪法二式	Xy	Play_Xy_01_02
5503	逍遥枪法三式	Xy	Play_Xy_01_03
5504	逍遥枪法四式	Xy	Play_Xy_01_04
5505	逍遥一招被击	Xy	Play_Xy_01_Hit
5506	逍遥二招拉人	Xy	Play_Xy_02_01
5507	逍遥二招拉人拉回来	Xy	Play_Xy_02_02
5508	逍遥无敌斩	Xy	Play_Xy_03_00
5509	逍遥无敌斩收招	Xy	Play_Xy_03_05
5510	逍遥白虹贯日	Xy	Play_Xy_04_01
5513	逍遥风卷残云	Xy	Play_Xy_05_01
5527	逍遥怒气技寰宇逍遥游	Xy	Play_Xy_00
5600	武当登场	Wd	Play_Wd_Dc
5601	武当普攻1	Wd	Play_Wd_01_01
5602	武当普攻2	Wd	Play_Wd_01_02
5603	武当普攻3	Wd	Play_Wd_01_03
5604	武当普攻4	Wd	Play_Wd_01_04
5605	武当普攻被击	Wd	Play_Wd_01_Hit
5606	人剑合一	Wd	Play_Wd_02_01
5607	坐忘无我	Wd	Play_Wd_03_01
5608	剑飞惊天	Wd	Play_Wd_04_01
5609	天地无极	Wd	Play_Wd_05_01
5610	武当怒气	Wd	Play_Wd_00
5711	天忍登场	Tr	Play_Tr_Dc
5700	天忍怒气	Tr	Play_Tr_00
5701	天忍普攻1	Tr	Play_Tr_01_01
5702	天忍普攻2	Tr	Play_Tr_01_02
5703	天忍普攻3	Tr	Play_Tr_01_03
5704	天忍普攻4	Tr	Play_Tr_01_04
5705	天忍普攻被击	Tr	Play_Tr_01_Hit
5706	死亡回旋	Tr	Play_Tr_02_01
5707	魔焰在天发招	Tr	Play_Tr_03_01
5708	魔焰在天子弹	Tr	Play_Tr_03_02
5709	血月之影	Tr	Play_Tr_04_01
5710	摄魂乱心	Tr	Play_Tr_05_01
6201	天王锤法被击	Tw	Play_Tw01_Hit
5800	少林怒气技能	Sl	Play_Sl_00
5801	少林普攻第一段	Sl	Play_Sl_01_01
5802	少林普攻第二段	Sl	Play_Sl_01_02
5803	少林普攻第三段	Sl	Play_Sl_01_03
5804	少林普攻第四段	Sl	Play_Sl_01_04
5805	少林普攻被击	Sl	Play_Sl_01_Hit
5806	少林降龙棍	Sl	Play_Sl_02_01
5807	少林大力金刚指	Sl	Play_Sl_03_01
5808	少林金刚伏魔	Sl	Play_Sl_04_01
5809	少林十二擒龙手	Sl	Play_Sl_05_01
5810	少林被动罗汉阵	Sl	Play_Sl_06_00
5900	翠烟怒气技能	Cy	Play_Cy_00
5901	翠烟普攻第一段	Cy	Play_Cy_01_01
5902	翠烟普攻第二段	Cy	Play_Cy_01_02
5903	翠烟普攻第三段	Cy	Play_Cy_01_03
5904	翠烟普攻第四段	Cy	Play_Cy_01_04
5905	翠烟普攻被击	Cy	Play_Cy_01_Hit
5906	翠烟天罗璇玑	Cy	Play_Cy_02_01
5907	翠烟雨打梨花	Cy	Play_Cy_03_01
5908	翠烟召唤宝宝	Cy	Play_Cy_04_01
5909	翠烟宝宝普攻	Cy	Play_Cy_04_02
5910	翠烟冰踪无影	Cy	Play_Cy_05_01
5911	翠烟冰踪无影被击	Cy	Play_Cy_05_Hit
5912	翠烟宝宝撞击	Cy	Play_Cy_04_03
5920	唐门怒气	Tm	Play_Tm_00
5921	唐门普攻123	Tm	Play_Tm_01_00
5922	唐门普攻4	Tm	Play_Tm_01_04
5923	唐门缠身刺	Tm	Play_Tm_02_01
5924	唐门缠身刺被击	Tm	Play_Tm_02_02
5925	唐门暴雨梨花	Tm	Play_Tm_03_01
5926	唐门暴雨梨花被击	Tm	Play_Tm_03_02
5927	唐门迷影纵	Tm	Play_Tm_04_01
5928	唐门九宫飞星	Tm	Play_Tm_05_01
5929	唐门普攻被击	Tm	Play_Tm_01_Hit
5940	昆仑怒气	Kl	Play_Kl_00
5941	昆仑普攻第一段	Kl	Play_Kl_01_01
5942	昆仑普攻第二段	Kl	Play_Kl_01_02
5943	昆仑普攻第三段	Kl	Play_Kl_01_03
5944	昆仑普攻第四段	Kl	Play_Kl_01_04
5945	昆仑仙人指路	Kl	Play_Kl_02_01
5946	昆仑啸风三连击	Kl	Play_Kl_03_01
5947	昆仑混沌剑阵	Kl	Play_Kl_04_01
5948	昆仑雷动九天发招	Kl	Play_Kl_05_01
5949	昆仑雷动九天的被击	Kl	Play_Kl_05_02
5950	昆仑普攻被击	Kl	Play_Kl_01_Hit
5960	丐帮怒气	Gb	Play_GB_00
5961	丐帮普攻1	Gb	Play_GB_01_01
5962	丐帮普攻2	Gb	Play_GB_01_02
5963	丐帮普攻3	Gb	Play_GB_01_03
5964	丐帮普攻4	Gb	Play_GB_01_04
5965	丐帮普攻被击	Gb	Play_GB_01_Hit
5966	丐帮亢龙有悔	Gb	Play_GB_02_01
5967	丐帮困龙功1	Gb	Play_GB_03_01
5968	丐帮困龙功2	Gb	Play_GB_03_02
5969	丐帮醉蝶狂舞	Gb	Play_GB_04_01
5970	丐帮龙战于野	Gb	Play_GB_05_01
5971	丐帮UI登场	Gb	Play_GB_Dc
5980	五毒怒气	WuDu	Play_WuDu_00
5981	五毒普攻1	WuDu	Play_WuDu_01_01
5982	五毒普攻2	WuDu	Play_WuDu_01_02
5983	五毒普攻3	WuDu	Play_WuDu_01_03
5984	五毒普攻4	WuDu	Play_WuDu_01_04
5985	五毒普攻被击	WuDu	Play_WuDu_01_Hit
