PickerType	ItemType	ItemId	Name	Prob0	Prob1	Prob2	Prob3	Prob4	Prob5	Prob6	Prob7	Prob8	Prob9	ProbHighVip0	ProbHighVip1	ProbHighVip2	ProbHighVip3	ProbHighVip4	ProbHighVip5	ProbHighVip6	ProbHighVip7	ProbHighVip8	ProbHighVip9
Gold	Partner	13	杨影枫（SS）	0	0	0	0							78	78	78	77						
Gold	Partner	23	月眉儿	66	55	51	47							61	51	47	43						
Gold	Partner	24	杨瑛	33	27	25	23							30	25	23	21						
Gold	Partner	26	清晓师太	33	27	25	23							30	25	23	21						
Gold	Partner	25	祝子虚	33	27	25	23							30	25	23	21						
Gold	Partner	27	黄暮云	33	27	25	23							30	25	23	21						
Gold	Partner	28	道一真人	33	27	25	23							30	25	23	21						
Gold	Partner	29	端木睿	33	27	25	23							30	25	23	21						
Gold	Partner	36	孟知秋	66	55	51	47							61	51	47	43						
Gold	Partner	49	张风	66	55	51	47							61	51	47	43						
Gold	Partner	50	南宫灭	66	55	51	47							61	51	47	43						
Gold	Partner	51	方勉	66	55	51	47							61	51	47	43						
Gold	Partner	52	唐影	66	55	51	47							61	51	47	43						
Gold	Partner	53	秋依水	66	55	51	47							61	51	47	43						
Gold	Partner	54	天星道长	66	55	51	47							61	51	47	43						
Gold	Partner	55	燕若雪	66	55	51	47							61	51	47	43						
Gold	Partner	56	杨熙烈	66	55	51	47							61	51	47	43						
Gold	Partner	57	上官飞龙	66	55	51	47							61	51	47	43						
Gold	Partner	58	纳兰潜凛	66	55	51	47							61	51	47	43						
Gold	Partner	37	高长恭	0	27	25	23							0	25	23	21						
Gold	Partner	38	哲别	0	27	25	23							0	25	23	21						
Gold	Partner	39	秦良玉	0	27	25	23							0	25	23	21						
Gold	Partner	40	袁承志	0	27	25	23							0	25	23	21						
Gold	Partner	41	鳌拜	0	27	25	23							0	25	23	21						
Gold	Partner	42	韩世忠	0	27	25	23							0	25	23	21						
Gold	Partner	43	赤睛虎皇	0	0	0	23							0	0	0	21						
Gold	Partner	44	撼天熊皇	0	0	0	23							0	0	0	21						
Gold	Partner	45	紫背鳄皇	0	0	0	23							0	0	0	21						
Gold	Partner	46	定海金刚	0	0	25	23							0	0	23	21						
Gold	Partner	47	金翅鹏皇	0	0	25	23							0	0	23	21						
Gold	Partner	48	银角犀皇（以上是S）	0	0	25	23							0	0	23	21						
Gold	Partner	59	纳兰真	462	462	462	462							370	370	370	370						
Gold	Partner	60	少年杨影枫	462	462	462	462							370	370	370	370						
Gold	Partner	61	杨铁心	462	462	462	462							370	370	370	370						
Gold	Partner	63	无想	231	231	231	231							185	185	185	185						
Gold	Partner	62	柳潇庭	231	231	231	231							185	185	185	185						
Gold	Partner	64	李恬儿	231	231	231	231							185	185	185	185						
Gold	Partner	65	李天目	231	231	231	231							185	185	185	185						
Gold	Partner	66	完颜襄	231	231	231	231							185	185	185	185						
Gold	Partner	76	唐潇	462	462	462	462							370	370	370	370						
Gold	Partner	77	紫轩	462	462	462	462							370	370	370	370						
Gold	Partner	78	蔷薇	462	462	462	462							370	370	370	370						
Gold	Partner	79	卓非凡	462	462	462	462							370	370	370	370						
Gold	Partner	80	月明瑶	462	462	462	462							370	370	370	370						
Gold	Partner	81	南宫彩虹	462	462	462	462							370	370	370	370						
Gold	Partner	82	张如梦	462	462	462	462							370	370	370	370						
Gold	Partner	83	张琳心	462	462	462	462							370	370	370	370						
Gold	Partner	84	封玉书	462	462	462	462							370	370	370	370						
Gold	Partner	85	曲霞	462	462	462	462							370	370	370	370						
Gold	Partner	86	耶律辟离	462	462	462	462							370	370	370	370						
Gold	Partner	87	林海	462	462	462	462							370	370	370	370						
Gold	Partner	88	陆文龙	462	462	462	462							370	370	370	370						
Gold	Partner	89	赵无双	462	462	462	462							370	370	370	370						
Gold	Partner	90	无相	462	462	462	462							370	370	370	370						
Gold	Partner	91	赵节	462	462	462	462							370	370	370	370						
Gold	Partner	92	邵骑风	462	462	462	462							370	370	370	370						
Gold	Partner	93	何暮雪	462	462	462	462							370	370	370	370						
Gold	Partner	94	赵升权	462	462	462	462							370	370	370	370						
Gold	Partner	95	柴嵩	462	462	462	462							370	370	370	370						
Gold	Partner	73	双首异兽	231	231	231	231							185	185	185	185						
Gold	Partner	74	奔焰豹王	231	231	231	231							185	185	185	185						
Gold	Partner	75	九尾狐王（以上是A）	231	231	231	231							185	185	185	185						
Gold	Partner	96	小殷方	3401	3401	3401	3401							3574	3574	3574	3574						
Gold	Partner	97	苏墨芸	3401	3401	3401	3401							3574	3574	3574	3574						
Gold	Partner	98	萧动尘	3401	3401	3401	3401							3574	3574	3574	3574						
Gold	Partner	102	胡神医	3401	3401	3401	3401							3574	3574	3574	3574						
Gold	Partner	103	秦沐白	3401	3401	3401	3401							3574	3574	3574	3574						
Gold	Partner	104	张仲天	3401	3401	3401	3401							3574	3574	3574	3574						
Gold	Partner	105	路达	3401	3401	3401	3401							3574	3574	3574	3574						
Gold	Partner	107	卢青	3401	3401	3401	3401							3574	3574	3574	3574						
Gold	Partner	108	莺儿（以上是B）	3401	3401	3401	3401							3574	3574	3574	3574						
Gold	item	1968	洗髓丹	55890	55890	55890	55890							56830	56830	56830	56830						
Coin	Partner	59	纳兰真	185	185	185	185							185	185	185	185						
Coin	Partner	60	少年杨影枫	185	185	185	185							185	185	185	185						
Coin	Partner	61	杨铁心	185	185	185	185							185	185	185	185						
Coin	Partner	63	无想	92	92	92	92							92	92	92	92						
Coin	Partner	62	柳潇庭	92	92	92	92							92	92	92	92						
Coin	Partner	64	李恬儿	92	92	92	92							92	92	92	92						
Coin	Partner	65	李天目	92	92	92	92							92	92	92	92						
Coin	Partner	66	完颜襄	92	92	92	92							92	92	92	92						
Coin	Partner	76	唐潇	185	185	185	185							185	185	185	185						
Coin	Partner	77	紫轩	185	185	185	185							185	185	185	185						
Coin	Partner	78	蔷薇	185	185	185	185							185	185	185	185						
Coin	Partner	79	卓非凡	185	185	185	185							185	185	185	185						
Coin	Partner	80	月明瑶	185	185	185	185							185	185	185	185						
Coin	Partner	81	南宫彩虹	185	185	185	185							185	185	185	185						
Coin	Partner	82	张如梦	185	185	185	185							185	185	185	185						
