IconId	Atlas	Sprite	ExtAtlas	ExtSprite	Desc1	Desc2
1	UI/Atlas/Common/icon.prefab	Gem_A1				
2	UI/Atlas/Common/icon.prefab	Gem_A1				
3	UI/Atlas/Common/icon.prefab	Gem_A1				
7	UI/Atlas/Common/icon.prefab	Gem_A1				
8	UI/Atlas/Common/icon.prefab	Miansilingpai				
9	UI/Atlas/Common/icon.prefab	MiansilingpaiMini				
11	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T1_Necklace_Q1			项链1	
12	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T2_Necklace_Q1			项链2	
13	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T3_Necklace_Q1			项链3	
14	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T4_Necklace_Q1			项链4	
15	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T5_Necklace_Q1			项链5	
16	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T8_Necklace_Q1			项链6	
17	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T6_Necklace_Q1			项链7	
18	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T7_Necklace_Q1			项链8	
19	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment02.prefab	T9_Necklace_Q1			项链9	
20	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment02.prefab	T10_Necklace_Q1			项链10	
21	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T1_Ring_Q1			戒指1	
22	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T2_Ring_Q1			戒指2	
23	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T3_Ring_Q1			戒指3	
24	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T4_Ring_Q1			戒指4	
25	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T5_Ring_Q1			戒指5	
26	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T6_Ring_Q1			戒指6	
27	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T7_Ring_Q1			戒指7	
28	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T8_Ring_Q1			戒指8	
29	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment02.prefab	T9_Ring_Q1			戒指9	
30	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment02.prefab	T10_Ring_Q1			戒指10	
31	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T1_Pendant_Q1			玉佩1	
32	UI/Atlas/NewAtlas/JewelryEquipment/JewelryEquipment.prefab	T2_Pendant_Q1			玉佩2	
