TemplateId	Desc	AttribType1	AttribLevel1	AttribType2	AttribLevel2	AttribType3	AttribLevel3	AttribType4	AttribLevel4	AttribType5	AttribLevel5	AttribType6	AttribLevel6
459	T1头盔（低）	vitality_v	2	energy_v	2	lifemax_v	2	water_resist_v	2	weaken_deadlystrike_v	2		
460	T2头盔（低）	vitality_v	4	energy_v	4	lifemax_v	4	water_resist_v	4	weaken_deadlystrike_v	4		
461	T3头盔（低）	vitality_v	6	energy_v	6	lifemax_v	6	water_resist_v	6	weaken_deadlystrike_v	6		
462	T4头盔（低）	vitality_v	8	energy_v	8	lifemax_v	8	water_resist_v	8	weaken_deadlystrike_v	8		
463	T5头盔（低）	vitality_v	10	energy_v	10	lifemax_v	10	water_resist_v	10	weaken_deadlystrike_v	10		
464	T6头盔（低）	vitality_v	12	energy_v	12	lifemax_v	12	water_resist_v	12	weaken_deadlystrike_v	12		
465	T7头盔（低）	vitality_v	14	energy_v	14	lifemax_v	14	water_resist_v	14	weaken_deadlystrike_v	14		
466	T8头盔（低）	vitality_v	16	energy_v	16	lifemax_v	16	water_resist_v	16	weaken_deadlystrike_v	16		
3824	T9头盔（低）	vitality_v	18	energy_v	18	lifemax_v	18	water_resist_v	18	weaken_deadlystrike_v	18		
3825	T10头盔（低）	vitality_v	20	energy_v	20	lifemax_v	20	water_resist_v	20	weaken_deadlystrike_v	20		
467	T1头盔（中）	vitality_v	3	energy_v	3	lifemax_v	3	water_resist_v	3	weaken_deadlystrike_v	3		
468	T2头盔（中）	vitality_v	5	energy_v	5	lifemax_v	5	water_resist_v	5	weaken_deadlystrike_v	5		
469	T3头盔（中）	vitality_v	7	energy_v	7	lifemax_v	7	water_resist_v	7	weaken_deadlystrike_v	7		
470	T4头盔（中）	vitality_v	9	energy_v	9	lifemax_v	9	water_resist_v	9	weaken_deadlystrike_v	9		
471	T5头盔（中）	vitality_v	11	energy_v	11	lifemax_v	11	water_resist_v	11	weaken_deadlystrike_v	11		
472	T6头盔（中）	vitality_v	14	energy_v	12	dexterity_v	12	lifemax_v	12	recover_life_v	12	water_resist_v	12
473	T7头盔（中）	vitality_v	15	energy_v	15	lifemax_v	15	water_resist_v	15	weaken_deadlystrike_v	15		
474	T8头盔（中）	vitality_v	17	energy_v	17	lifemax_v	17	water_resist_v	17	weaken_deadlystrike_v	17		
3826	T9头盔（中）	vitality_v	19	energy_v	19	lifemax_v	19	water_resist_v	19	weaken_deadlystrike_v	19		
3827	T10头盔（中）	vitality_v	21	energy_v	21	lifemax_v	21	water_resist_v	21	weaken_deadlystrike_v	21		
475	T1头盔（高）	vitality_v	6	energy_v	6	dexterity_v	6	lifemax_v	6	recover_life_v	6	water_resist_v	6
476	T2头盔（高）	vitality_v	8	energy_v	8	dexterity_v	8	lifemax_v	8	recover_life_v	8	water_resist_v	8
477	T3头盔（高）	vitality_v	10	energy_v	10	dexterity_v	10	lifemax_v	10	recover_life_v	10	water_resist_v	10
478	T4头盔（高）	vitality_v	12	energy_v	12	dexterity_v	12	lifemax_v	12	recover_life_v	12	water_resist_v	12
479	T5头盔（高）	vitality_v	14	energy_v	14	dexterity_v	14	lifemax_v	14	recover_life_v	14	water_resist_v	14
480	T6头盔（高）	vitality_v	16	energy_v	16	dexterity_v	16	lifemax_v	16	recover_life_v	16	water_resist_v	16
481	T7头盔（高）	vitality_v	18	energy_v	18	dexterity_v	18	lifemax_v	18	recover_life_v	18	water_resist_v	18
482	T8头盔（高）	vitality_v	20	energy_v	20	dexterity_v	20	lifemax_v	20	recover_life_v	20	water_resist_v	20
3828	T9头盔（高）	vitality_v	22	energy_v	22	dexterity_v	22	lifemax_v	22	recover_life_v	22	water_resist_v	22
3829	T10头盔（高）	vitality_v	24	energy_v	24	dexterity_v	24	lifemax_v	24	recover_life_v	24	water_resist_v	24
364	T1衣服（低）	vitality_v	2	dexterity_v	2	lifemax_v	2	metal_resist_v	2	weaken_deadlystrike_v	2		
365	T2衣服（低）	vitality_v	4	dexterity_v	4	lifemax_v	4	metal_resist_v	4	weaken_deadlystrike_v	4		
366	T3衣服（低）	vitality_v	6	dexterity_v	6	lifemax_v	6	metal_resist_v	6	weaken_deadlystrike_v	6		
367	T4衣服（低）	vitality_v	8	dexterity_v	8	lifemax_v	8	metal_resist_v	8	weaken_deadlystrike_v	8		
368	T5衣服（低）	vitality_v	10	dexterity_v	10	lifemax_v	10	metal_resist_v	10	weaken_deadlystrike_v	10		
369	T6衣服（低）	vitality_v	12	dexterity_v	12	lifemax_v	12	metal_resist_v	12	weaken_deadlystrike_v	12		
370	T7衣服（低）	vitality_v	14	dexterity_v	14	lifemax_v	14	metal_resist_v	14	weaken_deadlystrike_v	14		
371	T8衣服（低）	vitality_v	16	dexterity_v	16	lifemax_v	16	metal_resist_v	16	weaken_deadlystrike_v	16		
3830	T9衣服（低）	vitality_v	18	dexterity_v	18	lifemax_v	18	metal_resist_v	18	weaken_deadlystrike_v	18		
3831	T10衣服（低）	vitality_v	20	dexterity_v	20	lifemax_v	20	metal_resist_v	20	weaken_deadlystrike_v	20		
372	T1衣服（中）	vitality_v	3	dexterity_v	3	lifemax_v	3	metal_resist_v	3	weaken_deadlystrike_v	3		
373	T2衣服（中）	vitality_v	5	dexterity_v	5	lifemax_v	5	metal_resist_v	5	weaken_deadlystrike_v	5		
374	T3衣服（中）	vitality_v	7	dexterity_v	7	lifemax_v	7	metal_resist_v	7	weaken_deadlystrike_v	7		
375	T4衣服（中）	vitality_v	9	dexterity_v	9	lifemax_v	9	metal_resist_v	9	weaken_deadlystrike_v	9		
376	T5衣服（中）	vitality_v	11	dexterity_v	11	lifemax_v	11	metal_resist_v	11	weaken_deadlystrike_v	11		
377	T6衣服（中）	vitality_v	14	dexterity_v	12	lifemax_v	12	recover_life_v	12	metal_resist_v	12	all_series_resist_v	12
378	T7衣服（中）	vitality_v	15	dexterity_v	15	lifemax_v	15	metal_resist_v	15	weaken_deadlystrike_v	15		
379	T8衣服（中）	vitality_v	17	dexterity_v	17	lifemax_v	17	metal_resist_v	17	weaken_deadlystrike_v	17		
3832	T9衣服（中）	vitality_v	19	dexterity_v	19	lifemax_v	19	metal_resist_v	19	weaken_deadlystrike_v	19		
3833	T10衣服（中）	vitality_v	21	dexterity_v	21	lifemax_v	21	metal_resist_v	21	weaken_deadlystrike_v	21		
380	T1衣服（高）	vitality_v	6	dexterity_v	6	lifemax_v	6	recover_life_v	6	metal_resist_v	6	all_series_resist_v	6
381	T2衣服（高）	vitality_v	8	dexterity_v	8	lifemax_v	8	recover_life_v	8	metal_resist_v	8	all_series_resist_v	8
382	T3衣服（高）	vitality_v	10	dexterity_v	10	lifemax_v	10	recover_life_v	10	metal_resist_v	10	all_series_resist_v	10
383	T4衣服（高）	vitality_v	12	dexterity_v	12	lifemax_v	12	recover_life_v	12	metal_resist_v	12	all_series_resist_v	12
384	T5衣服（高）	vitality_v	14	dexterity_v	14	lifemax_v	14	recover_life_v	14	metal_resist_v	14	all_series_resist_v	14
385	T6衣服（高）	vitality_v	16	dexterity_v	16	lifemax_v	16	recover_life_v	16	metal_resist_v	16	all_series_resist_v	16
386	T7衣服（高）	vitality_v	18	dexterity_v	18	lifemax_v	18	recover_life_v	18	metal_resist_v	18	all_series_resist_v	18
387	T8衣服（高）	vitality_v	20	dexterity_v	20	lifemax_v	20	recover_life_v	20	metal_resist_v	20	all_series_resist_v	20
3834	T9衣服（高）	vitality_v	22	dexterity_v	22	lifemax_v	22	recover_life_v	22	metal_resist_v	22	all_series_resist_v	22
3835	T10衣服（高）	vitality_v	24	dexterity_v	24	lifemax_v	24	recover_life_v	24	metal_resist_v	24	all_series_resist_v	24
388	T1腰带（低）	vitality_v	2	dexterity_v	2	lifemax_v	2	fire_resist_v	2	weaken_deadlystrike_damage_p	2		
389	T2腰带（低）	vitality_v	4	dexterity_v	4	lifemax_v	4	fire_resist_v	4	weaken_deadlystrike_damage_p	4		
390	T3腰带（低）	vitality_v	6	dexterity_v	6	lifemax_v	6	fire_resist_v	6	weaken_deadlystrike_damage_p	6		
391	T4腰带（低）	vitality_v	8	dexterity_v	8	lifemax_v	8	fire_resist_v	8	weaken_deadlystrike_damage_p	8		
392	T5腰带（低）	vitality_v	10	dexterity_v	10	lifemax_v	10	fire_resist_v	10	weaken_deadlystrike_damage_p	10		
393	T6腰带（低）	vitality_v	12	dexterity_v	12	lifemax_v	12	fire_resist_v	12	weaken_deadlystrike_damage_p	12		
394	T7腰带（低）	vitality_v	14	dexterity_v	14	lifemax_v	14	fire_resist_v	14	weaken_deadlystrike_damage_p	14		
