Type	TitleID	Name	Achievement	ColorDesc	ColorID	GTopColorID	GBottomColorID	OutlineColorID	Timeout	ImgAltlas	ImgPrefix	EffectResID	Rank	WorldNotify	Desc	Quality	Icon
null1	1	未使用							100				1		未使用的称号ID		
null2	2	未使用							100	UI/Atlas/SkillIcon/SkillIcon.prefab	TianwangSkill_0		1		未使用的称号ID		
null3	3	未使用							100			17	1		未使用的称号ID		
null4	4	未使用											1		未使用的称号ID		
null5	5	未使用											1		未使用的称号ID		
null6	6	未使用											1		未使用的称号ID		
null7	7	未使用											1		未使用的称号ID		
null8	8	未使用											1		未使用的称号ID		
punish_1	9	惩恶任务·喽啰		白色称号	200								1		惩恶任务		
punish_2	10	惩恶任务·喽啰		绿色称号	200	201	202	203					1		惩恶任务		
punish_3	11	惩恶任务·精英		蓝色称号	200	204	205	206					1		惩恶任务		
punish_4	12	惩恶任务·头目		紫色称号	200	207	208	209					1		惩恶任务		
punish_5	13	惩恶任务·头目		橙色称号	200	213	214	215					1		惩恶任务		
dota	14	大杀特杀		绿色称号	200	201	202	203					1		战场称号		
dota	15	接近暴走		蓝色称号	200	204	205	206					2		战场称号		
dota	16	无人可挡		紫色称号	200	207	208	209					3		战场称号		
dota	17	主宰战场		粉色称号	200	210	211	212					4		战场称号		
dota	18	接近神了		橙色称号	200	213	214	215					5		战场称号		
dota	19	超神		金色称号	200	216	217	218					6		战场称号		
CommerceTask1	20	未成熟		白色称号	200								1		商会采集物		
CommerceTask2	21	药草守卫		白色称号	200								1		商会守卫		
CommerceTask3	22																
CommerceTask4	23																
CommerceTask5	24																
CommerceTask6	25																
QYMJ	26	山贼头目		蓝色称号	200	204	205	206					1		山贼密窟NPC称号		
BHT	27	一层头目		蓝色称号	200	204	205	206					1		白虎堂NPC称号		
BHT	28	二层头目		蓝色称号	200	204	205	206					1		白虎堂NPC称号		
BHT	29	三层头目		蓝色称号	200	204	205	206					1		白虎堂NPC称号		
BHT	30	四层首领		紫色称号	200	207	208	209					1		白虎堂NPC称号		
InDifferShopNpc	31	童叟无欺		粉色称号	200	210	211	212					1		心魔幻境NPC称号		
citynpc1	100	唐门侠少		蓝色称号	200	204	205	206					1		城市npc称号		
citynpc2	101	江湖女侠		蓝色称号	200	204	205	206					1		城市npc称号		
citynpc3	102	皇城守卫		绿色称号	200	201	202	203					1		城市npc称号		
citynpc4	103	活动接引人		粉色称号	200	210	211	212					1		城市npc称号		
citynpc5	104	清丽佳人		绿色称号	200	201	202	203					1		城市npc称号		
citynpc6	105	战场演练		绿色称号	200	201	202	203					1		城市npc称号		
citynpc7	106	偷偷摸摸		绿色称号	200	201	202	203					1		城市npc称号		
citynpc8	107	铸剑师		蓝色称号	200	204	205	206					1		城市npc称号		
citynpc9	108	武林新秀		蓝色称号	200	204	205	206					1		城市npc称号		
citynpc10	109	商会任务		粉色称号	200	210	211	212					1		城市npc称号		
citynpc11	110	隐香楼老板		蓝色称号	200	204	205	206									
citynpc12	111	藏剑公子		蓝色称号	200	204	205	206									
citynpc13	112	枫叶明珠		蓝色称号	200	204	205	206									
citynpc14	113	悲魔剑圣		紫色称号	200	207	208	209									
citynpc15	114	武林盟主		紫色称号	200	207	208	209									
citynpc16	115	比武场接引人		粉色称号	200	210	211	212									
citynpc17	116	擂台报名人		粉色称号	200	210	211	212									
citynpc18	117	忘忧酒馆掌柜		紫色称号	200	207	208	209									
citynpc19	118	卖船票的小姑娘		粉色称号	200	210	211	212					1		情人节Npc称号		
citynpc20	119	花使		紫色称号	200	207	208	209					1		植树节Npc称号		
citynpc21	120	家园管理员		粉色称号	200	210	211	212							家园管理员NPC		
citynpc22	121	选美大会司仪		粉色称号	200	210	211	212							武林第一美女评选NPC		
citynpc23	122	商会少当家		蓝色称号	200	204	205	206					1				
citynpc24	123	桃花岛主		紫色称号	200	207	208	209							概率展示NPC		
citynpc25	124	婚礼商人		粉色称号	200	210	211	212							凤囍称号		
citynpc26	125	婚礼司仪		粉色称号	200	210	211	212							月老称号		
citynpc27	126	媒人		粉色称号	200	210	211	212							红娘称号		
citynpc28	127			紫色称号	200	207	208	209									
citynpc29	128			紫色称号	200	207	208	209									
citynpc30	129			紫色称号	200	207	208	209									
citynpc31	130			粉色称号	200	210	211	212									
citynpc32	131			粉色称号	200	210	211	212									
citynpc33	132			粉色称号	200	210	211	212									
citynpc34	133			粉色称号	200	210	211	212									
citynpc35	134			粉色称号	200	210	211	212									
citynpc36	135			粉色称号	200	210	211	212									
citynpc37	136			粉色称号	200	210	211	212									
citynpc38	137			粉色称号	200	210	211	212									
citynpc39	138			粉色称号	200	210	211	212									
citynpc40	139			粉色称号	200	210	211	212									
citynpc41	140			橙色称号	200	213	214	215									
citynpc42	141			橙色称号	200	213	214	215									
citynpc43	142			橙色称号	200	213	214	215									
citynpc44	143			橙色称号	200	213	214	215									
citynpc45	144			橙色称号	200	213	214	215									
citynpc46	145			橙色称号	200	213	214	215									
citynpc47	146			橙色称号	200	213	214	215									
citynpc48	147			橙色称号	200	213	214	215									
citynpc49	148			橙色称号	200	213	214	215									
citynpc50	149			橙色称号	200	213	214	215									
birthplacenpc1	150	无忧少女		紫色称号	200	207	208	209							新手村npc		
birthplacenpc2	151	绝世枭雄		粉色称号	200	210	211	212							新手村npc		
birthplacenpc3	152	村民		蓝色称号	200	204	205	206							新手村npc		
birthplacenpc4	153	村民		蓝色称号	200	204	205	206							新手村npc		
birthplacenpc5	154	村民		蓝色称号	200	204	205	206							新手村npc		
birthplacenpc6	155	村民		蓝色称号	200	204	205	206							新手村npc		
birthplacenpc7	156	藏剑庄主		紫色称号	200	207	208	209							新手村npc		
birthplacenpc8	157	村民		绿色称号	200	201	202	203							新手村npc		
birthplacenpc9	158	村民		绿色称号	200	201	202	203							新手村npc		
birthplacenpc10	159	村民		绿色称号	200	201	202	203							新手村npc		
birthplacenpc11	160	师徒管理员		粉色称号	200	210	211	212							新手村npc		
Battle_NPC_1	201	宋军大将		紫色称号	200	207	208	209							战场NPC称号		
Battle_NPC_2	202	宋军元帅		橙色称号	200	213	214	215							战场NPC称号		
Battle_NPC_3	203	金军大将		紫色称号	200	207	208	209							战场NPC称号		
Battle_NPC_4	204	金军元帅		橙色称号	200	213	214	215							战场NPC称号		
Battle_NPC_5	205	攻击		白色称号	200										战场NPC称号		
Battle_NPC_6	206	回血		白色称号	200										战场NPC称号		
Battle_Player_1	210	宋军士兵		白色称号	200										战场玩家称号		
Battle_Player_2	211	宋军校尉		绿色称号	200	201	202	203							战场玩家称号		
Battle_Player_3	212	宋军统领		蓝色称号	200	204	205	206							战场玩家称号		
