nTemplateId	szDesc
2667	外裝1
2706	外裝2
3310	外裝3
1395	逐鹿令
1394	名將令
1393	盟主令
5561	T11稀有武器
5621	T11稀有衣服
5571	T11稀有項鍊
5581	T11稀有戒指
5591	T11稀有玉佩
5601	T11稀有護身符
5611	T11稀有帽子
5631	T11稀有護腕
5641	T11稀有腰帶
5651	T11稀有鞋子
1131	T10稀有武器
1191	T10稀有衣服
1141	T10稀有項鍊
1151	T10稀有戒指
1161	T10稀有玉佩
1171	T10稀有護身符
1181	T10稀有帽子
1201	T10稀有護腕
1211	T10稀有腰帶
1221	T10稀有鞋子
1130	T9稀有武器
1190	T9稀有衣服
1140	T9稀有項鍊
1150	T9稀有戒指
1160	T9稀有玉佩
1170	T9稀有護身符
1180	T9稀有帽子
1200	T9稀有護腕
1210	T9稀有腰帶
1220	T9稀有鞋子
1129	T8稀有武器
1189	T8稀有衣服
1139	T8稀有項鍊
1149	T8稀有戒指
1159	T8稀有玉佩
1169	T8稀有護身符
1179	T8稀有帽子
1199	T8稀有護腕
1209	T8稀有腰帶
1219	T8稀有鞋子
1128	T7稀有武器
1188	T7稀有衣服
1138	T7稀有項鍊
1148	T7稀有戒指
1158	T7稀有玉佩
1168	T7稀有護身符
1178	T7稀有帽子
1198	T7稀有護腕
1208	T7稀有腰帶
1218	T7稀有鞋子
1127	T6稀有武器
1187	T6稀有衣服
1137	T6稀有項鍊
1147	T6稀有戒指
1157	T6稀有玉佩
1167	T6稀有護身符
1177	T6稀有帽子
1197	T6稀有護腕
1207	T6稀有腰帶
1217	T6稀有鞋子
1126	T5稀有武器
1186	T5稀有衣服
1136	T5稀有項鍊
1146	T5稀有戒指
1156	T5稀有玉佩
1166	T5稀有護身符
1176	T5稀有帽子
1196	T5稀有護腕
1206	T5稀有腰帶
1216	T5稀有鞋子
1125	T4稀有武器
1185	T4稀有衣服
1135	T4稀有項鍊
1145	T4稀有戒指
1155	T4稀有玉佩
1165	T4稀有護身符
1175	T4稀有帽子
