nId	szDesc	nNeed	nStudentExp	nTeacherRenown
1	打開10個黃金寶箱	10	250000	50
2	打開50個黃金寶箱	50	500000	100
3	成功加入幫派	1	500000	100
4	成功獲取5個幫派禮盒	5	250000	50
5	成功獲取50個幫派禮盒	50	500000	100
6	幫派金庫捐獻5次	5	250000	50
7	幫派金庫捐獻50次	50	500000	100
8	領取2次幫派拍賣分紅	2	250000	50
9	領取20次幫派拍賣分紅	20	500000	100
10	完成10次挖寶	10	250000	50
11	完成50次挖寶	50	500000	100
12	成功購買擺攤物品	1	250000	50
13	成功賣出擺攤物品	1	500000	100
14	將身上1件裝備洗滿6條屬性	1	500000	100
15	將全身10件裝備洗滿6條屬性	1	2500000	500
16	全身穿滿傳承以上裝備	1	1000000	200
17	全身穿滿稀有裝備	1	5000000	1000
18	每日目標完成度達到100	1	500000	100
19	累計7天每日目標完成度達到100	7	1000000	200
20	開啟2次修煉狀態	2	250000	50
21	開啟10次修煉狀態	10	500000	100
22	完成5次懲惡任務	5	250000	50
23	完成50次懲惡任務	50	500000	100
24	組隊秘境達成優秀以上評價	1	250000	50
25	組隊秘境達成卓越評價	1	2500000	500
26	武神殿排名進入前1500名	1	500000	100
27	武神殿排名進入前500名	1	2500000	500
28	成功通過6輪英雄挑戰	1	250000	50
29	成功通過10輪英雄挑戰	1	1000000	200
30	武林盟主個人排名前1500	1	500000	100
31	武林盟主個人排名前500	1	2500000	500
32	參與1次野外首領	1	500000	100
33	參與1次歷代名將	1	500000	100
34	完成1輪商會任務	1	250000	50
35	完成10輪商會任務	10	500000	100
36	參加1次宋金戰場	1	250000	50
37	參加10次宋金戰場	10	500000	100
38	參加1次幫派試煉	1	250000	50
39	參加3次幫派試煉	3	500000	100
40	全身裝備強化+20	1	500000	100
41	全身裝備強化+30	1	1000000	200
42	全身裝備強化+40	1	2500000	500
43	鑲嵌20個1級以上魂石	1	500000	100
44	鑲嵌20個2級以上魂石	1	1000000	200
45	鑲嵌20個3級以上魂石	1	2500000	500
46	鑲嵌20個4級以上魂石	1	5000000	1000
47	參加1次門派競技	1	250000	50
48	參加3次門派競技	3	500000	100
49	達到驚鴻頭銜	1	250000	50
50	達到淩雲頭銜	1	500000	100
51	達到禦空頭銜	1	1000000	200
52	達到潛龍頭銜	1	5000000	1000
53	與師傅親密度達到10級	1	250000	50
54	與師傅親密度達到15級	1	500000	100
55	與師傅親密度達到20級	1	1000000	200
56	珍寶閣購買10個打折白水晶	10	250000	50
57	珍寶閣購買100個打折白水晶	100	500000	100
58	珍寶閣購買50個打折綠水晶	50	1000000	200
59	購買7日禮包	1	500000	100
60	購買30日禮包	1	500000	100
61	購買1次每日禮包	1	250000	50
62	購買10次每日禮包	10	500000	100
63	購買一本萬利	1	1000000	200
64	達到劍俠尊享6	1	5000000	1000
