nPartnerId	Desc	nType
1	蚩尤	1
2	後羿	1
3	蘇妲己	1
4	鬼穀子	1
5	項羽	1
6	秦始皇	1
7	武則天	1
8	呂洞賓	1
9	張三豐	1
10	西施	1
11	獨孤劍	1
12	南宮飛雲	1
13	楊影楓	1
14	玄天道人	1
15	虞姬	1
16	趙飛燕	1
17	荊軻	1
18	李廣	1
19	趙雲	1
20	李元霸	1
21	月眉兒	1
22	項凌天	1
23	祝子虛	1
24	長孫無夢	1
25	洛青霜	1
26	S7	1
27	S8	1
28	S9	1
29	S10	1
30	高長恭	1
31	哲別	1
32	袁承志	1
33	鼇拜	1
34	金翅鵬皇	1
35	赤睛虎皇	1
36	撼天熊皇	1
37	定海金剛	1
38	納蘭潛凜	1
39	勾冊	1
40	楊熙烈	1
41	上官飛龍	1
42	葉無心	1
43	楊瑛	1
44	薛銀藥	1
45	天星道長	1
46	玄天武機	1
47	孟知秋	1
48	月重天	1
126	少年楊影楓	4
49	納蘭真	3
50	項鼎	1
51	柳瀟庭	1
52	丁詩雨	1
53	李恬兒	1
54	張惟宜	1
55	A7	1
56	A8	1
57	A9	1
58	寒玉鹿王	1
59	大地狼王	1
60	奔焰豹王	1
61	九尾狐王	1
62	卓非凡	1
63	霹靂火	1
64	單晶晶	1
65	沐紫衣	1
66	蘇墨芸	1
67	姬禦天	1
68	公輸鈴	1
69	紫軒	1
70	薔薇	1
71	艾黎	1
72	公孫惜花	1
73	公輸羽	1
74	張仲天	1
75	A27	1
76	A28	1
77	A29	1
78	小李子	2
79	蕭動塵	1
80	慕容越	1
81	徐鐵心	1
82	葉雨柔	1
83	天蠱毒屍	1
84	波東哈	1
85	楚天霸	1
86	秦沐白	1
87	甯素心	1
88	墨樞	1
89	穆麟	1
90	唐無心	1
91	B14	1
92	B15	1
93	B16	1
94	B17	1
95	B18	1
96	金錢豹	1
97	黑翼獵鷹	1
98	武林惡徒	1
99	猛虎	1
100	楓林衛	1
101	猿猴	1
102	鐵面捕頭	1
103	紅衣女童	1
104	鑄劍師	1
105	獵人	1
106	紅纓侍	1
107	強盜	1
108	藥王谷弟子	1
109	灰狼	1
110	東瀛忍者	1
111	生使	1
112	死侍	1
113	火狐	1
114	九幽弟子	1
115	黑熊	1
116	無憂教弟子	1
117	天工匠者	1
118	傀儡士兵	1
119	機關人	1
120	C25	1
121	C26	1
122	C27	1
123	C28	1
124	C29	1
125	C30	1
