ItemId	Desc	ItemCount1	ItemCount2	ItemCount3	ItemCount4	ItemCount5	ItemCount6	ItemCount7	ItemCount8	ItemCount9	ItemCount10
1394	名將令	3									
1395	逐鹿令		3								
1396	帝皇令				1						
2794	黃金圖譜·武器					0.5	0.5	0.5	0.5		
2796	黃金圖譜·帽子				0.5	0.5	0.5	0.5	0.5		
2800	黃金圖譜·項鍊				0.5	0.5	0.5	0.5	0.5		
2795	黃金圖譜·衣服				0.5	0.5	0.5	0.5	0.5		
2802	黃金圖譜·玉佩					0.5	0.5	0.5	0.5		
2797	黃金圖譜·腰帶				0.5	0.5	0.5	0.5	0.5		
2804	和氏璧				10	10	10	10	10		
4462	元氣瓶（小）		5	5	5	5	5	5	5		
4816	元氣瓶（中）		5	5	5	5	5	5	5		
4817	元氣瓶（大）		5	5	5	5	5	5	5		
2424	門派信物		60			60					
2527	馬牌			60		60		60			
3445	赤金馭天繩				1	1	1				
3455	赤金馭天蹬				1	1	1				
3450	赤金馭天鞍				1	1	1				
3179	SS同伴任選箱				1	1	1	1	1		
3693	SS本命武器任選箱				1	1	1	1	1		
3701	S本命武器任選箱		2	2	1	1	1	1	1		
1430	武林秘笈·上卷	3	10								
1431	武林秘笈·中卷		10	10							
1432	武林秘笈·下卷						10	10			
3714	洗髓經·上卷				3	3	3	3	3		
3715	洗髓經·中卷						3	3	3		
2396	高級修為書		10	10		0.5	0.5				
4873	初級魂石·宋秋石					0.5	0.5	0.5	0.5		
4874	初級魂石·古嫣然					0.5	0.5	0.5	0.5		
3709	初級魂石·年獸		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2824	初級魂石·玄天武機				0.5	0.5	0.5	0.5	0.5		
2825	初級魂石·白起				0.5	0.5	0.5	0.5	0.5		
2826	初級魂石·李斯				0.5	0.5	0.5	0.5	0.5		
2696	初級魂石·完顏洪烈		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2528	初級魂石·楊瑛		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2529	初級魂石·清曉師太		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2530	初級魂石·祝子虛		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2531	初級魂石·黃玉英		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2532	初級魂石·道一真人		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2533	初級魂石·端木睿		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2534	初級魂石·孟知秋		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2535	初級魂石·李顯忠		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2536	初級魂石·徒單克寧		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
4540	初級魂石·冰鱗蜥皇							0.5	0.5		
4541	初級魂石·銀鉤蠍皇							0.5	0.5		
4542	初級魂石·狂鬃獒皇							0.5	0.5		
1754	初級魂石·赤睛虎皇				0.5	0.5	0.5	0.5	0.5		
1755	初級魂石·撼天熊皇				0.5	0.5	0.5	0.5	0.5		
1756	初級魂石·紫背鱷皇				0.5	0.5	0.5	0.5	0.5		
1757	初級魂石·定海金剛		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
1758	初級魂石·金翅鵬皇		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
1759	初級魂石·銀角犀皇		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2668	初級魂石·獨孤劍		0.5	0.5	0.5	0.5	0.5	0.5	0.5		
2674	初級魂石·岳飛			0.5	0.5	0.5	0.5	0.5	0.5		
2673	初級魂石·虞姬			0.5	0.5	0.5	0.5	0.5	0.5		
2672	初級魂石·荊軻			0.5	0.5	0.5	0.5	0.5	0.5		
2848	初級魂石·玄因			0.5	0.5	0.5	0.5	0.5	0.5		
2880	初級魂石·南宮飛雲			0.5	0.5	0.5	0.5	0.5	0.5		
2881	初級魂石·楊影楓				0.5	0.5	0.5	0.5	0.5		
3022	初級魂石·雷				0.5	0.5	0.5	0.5	0.5		
3215	初級魂石·李元霸					0.5	0.5	0.5	0.5		
3216	初級魂石·趙雲					0.5	0.5	0.5	0.5		
3217	初級魂石·李廣					0.5	0.5	0.5	0.5		
3371	初級魂石·尹含煙					0.5	0.5	0.5	0.5		
3372	初級魂石·璿璣子					0.5	0.5	0.5	0.5		
3373	初級魂石·玄天道人					0.5	0.5	0.5	0.5		
3856	初級魂石·唐仇					0.5	0.5	0.5	0.5		
3854	初級魂石·黑面郎君					0.5	0.5	0.5	0.5		
3855	初級魂石·何人我					0.5	0.5	0.5	0.5		
4282	1階稀有真元（未鑒定）		2								
4283	2階稀有真元（未鑒定）			2							
4284	3階稀有真元（未鑒定）				2						
4285	4階稀有真元（未鑒定）					2					
4286	5階稀有真元（未鑒定）						2				
4287	6階稀有真元（未鑒定）							2			
4288	7階稀有真元（未鑒定）								2		
