nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishTaskNpcId	nFinishDialogId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_ExtInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat
6000	SpecialTask1_1	[活]終於等到你	挺師兄自小於武當習武，近幾年才開始行走江湖，卻已經闖出不小的聲名，去看看他有什麼要幫忙的！	詢問[FFFE0D]挺師兄[-]詳細情況	詢問[FFFE0D]挺師兄[-]詳細情況	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]				6001	1666	6000										2	1							15					
6001	SpecialTask1_2	[活]終於等到你	寂寞雙煞是武林中有名的凶徒，只是要找他們的行蹤可不太容易，所幸他們如今身受重傷，也許老闆娘會有他們的消息！	找[FFFE0D]老闆娘[-]打聽消息	找[FFFE0D]老闆娘[-]打聽消息	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]			6000	6002	99	6001										2	1												
6002	SpecialTask1_3	[活]終於等到你	這寂寞雙煞著實可惡，平日裡為非作歹，卻一直苦於找不到他們，既然這次送上門來，正好將他們繩之於法！	根據線索找到[FFFE0D]寂寞雙煞[-]	根據線索找到[FFFE0D]寂寞雙煞[-]	[url=pos:test, 800, 3150, 5200]	[url=pos:test, 800, 3150, 5200]			6001	6003				1								2	1					800							
6003	SpecialTask1_4	[活]終於等到你	寂寞雙煞顧名思義有兩人，也不知兩人是何來歷，擊敗他們兩人！奪回又緣糕！	擊敗[FFFE0D]寂[-]與[FFFE0D]寞[-]奪回又緣糕	擊敗[FFFE0D]寂[-]與[FFFE0D]寞[-]奪回又緣糕	[url=npcanddosomething:test, 1668, 800, autofight, 1]				6002	6004				1						1668|1;1669|1	1	2	1												
6004	SpecialTask1_5	[活]終於等到你	總算是擊敗這兩個難纏的傢伙了，先離開這兒再說！	到一個安全的地方	到一個安全的地方	[url=taskitem:test, $T]	[url=taskitem:test, $T]			6003	6005				1	1	802						2	1												
6005	SpecialTask1_6	[活]終於等到你	這不知是否便是挺師兄所說的又緣糕，為保萬無一失，還是先帶回去給他看看！	將又緣糕帶回給[FFFE0D]挺哥[-]	將又緣糕帶回給[FFFE0D]挺哥[-]	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]			6004	6006	1666	6003										2													
6006	SpecialTask1_7	[活]終於等到你	挺師兄的傷勢頗為嚴重，不過能憑一己之力將寂寞雙煞重傷，已是十分不易，挺師兄年紀輕輕，有如此武藝，真是令人敬佩！	替挺哥帶又緣糕給[FFFE0D]小緣[-]	替挺哥帶又緣糕給[FFFE0D]小緣[-]	[url=clientnpcbyidx:test, 804]	[url=clientnpcbyidx:test, 804]	804	804	6005	6007		6004										2	1												
6007	SpecialTask1_8	[活]終於等到你	看來小緣師姐對挺師兄也頗有情意，但願他們能夠有情人終成眷屬！	通知[FFFE0D]挺哥[-]去玉楓谷	通知[FFFE0D]挺哥[-]去玉楓谷	[url=npc:testtt,$F,10]	[url=npc:testtt,$F,10]	800		6006	6008	1666	6005										2	1												
6008	SpecialTask1_9	[活]終於等到你	金風玉露一相逢，便勝卻人間無數。玉楓谷……好名字，小緣師姐選了這個一個地方，看來挺師兄機會頗大啊！	偷偷[FFFE0D]前往玉楓谷[-]	偷偷[FFFE0D]前往玉楓谷[-]看看	[url=pos:test, 801, 5000, 4500]	[url=pos:test, 801, 5000, 4500]	800|805	800	6007	6009				1								2	1					801							
6009	SpecialTask1_10	[活]終於等到你	不知道事情進行得順不順利，我得偷偷跟上去看看情況如何！	偷偷[FFFE0D]追上去[-]看看	偷偷[FFFE0D]追上去[-]看看	[url=taskitem:test, $T]	[url=taskitem:test, $T]	805	805	6008	6010				1	1	800						2	1												
