決賽擂臺	12452	10082
決賽擂臺	11331	10095
決賽擂臺	13594	10064
擂臺一	10290	13500
擂臺一	9337	13474
擂臺一	11213	13480
擂臺二	14616	13498
擂臺二	13667	13495
擂臺二	15542	13482
擂臺三	14599	6335
擂臺三	13682	6310
擂臺三	15531	6321
擂臺四	10268	6333
擂臺四	9348	6318
擂臺四	11187	6307
擂臺五	5868	8046
擂臺五	4944	8026
擂臺五	6800	8010
擂臺六	5867	11882
擂臺六	4928	11860
擂臺六	6799	11854
擂臺七	19029	11886
擂臺七	18108	11889
擂臺七	19954	11881
擂臺八	19030	8033
擂臺八	18076	8024
擂臺八	19956	8022
進入點	8126	7806
進入點	8871	7799
進入點	9638	7784
進入點	10607	7784
進入點	11591	7770
進入點	12401	7777
進入點	13103	7777
進入點	13920	7806
進入點	14904	7828
進入點	15526	7835
進入點	16228	7828
進入點	16901	7886
進入點	16879	8392
進入點	16835	8855
進入點	16821	9463
進入點	16843	10179
進入點	16857	10634
進入點	16741	11423
進入點	16763	11879
進入點	15577	11879
進入點	16119	11842
進入點	14846	11886
進入點	14144	11857
進入點	13233	11871
進入點	13703	11871
進入點	12698	11886
進入點	12104	11850
進入點	11490	11864
進入點	10954	11857
進入點	10361	11850
進入點	9775	11828
進入點	9254	11835
進入點	8690	11835
進入點	8119	11835
進入點	8068	11401
進入點	8039	10916
進入點	8053	10432
進入點	8061	9998
進入點	8025	9491
進入點	8039	9101
進入點	7996	8717
進入點	7988	8254
觀戰0	12450	8848
觀戰0	10963	9439
觀戰0	13971	9490
觀戰1	10269	12455
觀戰1	8998	13032
觀戰1	11545	13065
觀戰2	14601	12463
觀戰2	13331	12924
觀戰2	15868	12919
觀戰3	14591	5298
觀戰3	13340	5795
觀戰3	15870	5770
觀戰4	10257	5301
觀戰4	8990	5814
觀戰4	11529	5785
觀戰5	5879	7002
觀戰5	4596	7582
觀戰5	7146	7528
觀戰6	5861	10840
觀戰6	4600	11396
觀戰6	7147	11412
觀戰7	19016	10837
觀戰7	17762	11406
觀戰7	20308	11352
觀戰8	19014	6982
觀戰8	17723	7516
觀戰8	20300	7487
