GroupId	ItemId	ItemName	Count
1	736	碧玉扳指	1
1	737	翡翠手鐲	1
1	738	青花瓷瓶	1
1	739	鎏金銀盤	1
1	740	銅編鐘	1
1	741	白玉釵	1
1	742	墨玉硯	1
1	743	青竹簡	1
1	744	七弦古琴	1
1	745	千手觀影	1
1	746	長明宮燈	1
1	747	青銅大鼎	1
2	2398	秘笈·天罡戰氣	1
2	2401	秘笈·氣蓋八荒	1
2	2402	秘笈·不動如山	1
2	2719	秘笈·固若金湯	1
2	2403	秘笈·六道輪回	1
2	2404	秘笈·清心普善	1
2	2405	秘笈·玄冰無息	1
2	2720	秘笈·滄浪濯纓	1
2	2406	秘笈·五雷正法	1
2	2407	秘笈·北冥神功	1
2	2408	秘笈·悲酥清風	1
2	2721	秘笈·槍出如龍	1
2	2409	秘笈·風雲變幻	1
2	2410	秘笈·金蟬脫殼	1
2	2411	秘笈·隕星泣血	1
2	2722	秘笈·月落星沉	1
2	2412	秘笈·兩儀劍法	1
2	2413	秘笈·劍氣縱橫	1
2	2414	秘笈·七星訣	1
2	2723	秘笈·劍我兩忘	1
2	2415	秘笈·火蓮焚華	1
2	2416	秘笈·飛鴻無跡	1
2	2417	秘笈·厲魔奪魂	1
2	2724	秘笈·追魂奪命	1
2	2713	秘笈·韋陀獻杵	1
2	2714	秘笈·一指禪功	1
2	2715	秘笈·羅漢金身	1
2	2749	秘笈·摩柯無量	1
2	2716	秘笈·七寶羅傘	1
2	2717	秘笈·妙雨連誅	1
2	2718	秘笈·青梅竹熊	1
2	2750	秘笈·十裡冰封	1
2	3267	秘笈·纏身刺	1
2	3268	秘笈·暴雨梨花	1
2	3269	秘笈·迷影縱	1
2	3270	秘笈·九宮飛星	1
2	3271	秘笈·仙人指路	1
2	3272	秘笈·嘯風三連擊	1
2	3273	秘笈·混沌劍陣	1
2	3274	秘笈·雷動九天	1
2	4021	秘笈·亢龍有悔	1
2	4022	秘笈·困龍功	1
2	4023	秘笈·醉蝶狂舞	1
2	4024	秘笈·龍戰於野	1
2	4025	秘笈·陰風蝕骨	1
2	4026	秘笈·召喚毒蟲	1
2	4027	秘笈·迷心蠱	1
2	4028	秘笈·萬蠱蝕心	1
2	5201	秘笈·九溪彌煙	1
2	5202	秘笈·心劍	1
2	5203	秘笈·平湖斷月	1
2	5204	秘笈·峰插雲景	1
2	5205	秘笈·平沙雁落	1
2	5206	秘笈·雲生結海	1
2	5207	秘笈·清音長嘯	1
2	5208	秘笈·江逐月天	1
3	1713	初級魂石·少年楊影楓	1
3	1729	初級魂石·曲霞	1
3	1730	初級魂石·耶律辟離	1
3	1731	初級魂石·楊鐵心	1
3	1732	初級魂石·無想	1
3	1733	初級魂石·柳瀟庭	1
3	1734	初級魂石·李恬兒	1
3	1735	初級魂石·李天目	1
3	1736	初級魂石·完顏襄	1
3	1739	初級魂石·耶律楚材	1
3	1743	初級魂石·雷震天	1
3	1748	初級魂石·高長恭	1
3	1749	初級魂石·哲別	1
3	1750	初級魂石·秦良玉	1
3	1751	初級魂石·袁承志	1
3	1752	初級魂石·鼇拜	1
3	1753	初級魂石·韓世忠	1
3	1762	初級魂石·天星道長	1
3	1763	初級魂石·燕若雪	1
3	1764	初級魂石·楊熙烈	1
3	1765	初級魂石·上官飛龍	1
3	1766	初級魂石·納蘭潛凜	1
3	1767	初級魂石·方勉	1
3	1768	初級魂石·南宮滅	1
3	1769	初級魂石·唐影	1
3	1770	初級魂石·秋依水	1
3	2847	初級魂石·玄慈	1
4	1486	月眉兒·冰心仙子	1
4	1487	楊瑛·朝陽燦金槍	1
4	1488	清曉師太·滌塵劍	1
4	1489	祝子虛·太霄神槍	1
4	1490	黃暮雲·碧海潮生弓	1
4	1491	道一真人·璿璣劍	1
4	1492	端木睿·奪魂刃	1
4	1493	玄因·菩提禪杖	1
4	1494	尹含煙·（尹含煙）	1
4	1495	黑面郎君·（黑面郎君）	1
4	1496	璿璣子·（璿璣子）	1
4	1497	何人我·（何人我）	1
4	1498	唐仇·（唐仇）	1
4	1499	孟知秋·滄海劍	1
4	1500	高長恭·武陵白狼刃	1
4	1501	哲別·天鷹弩	1
4	1502	秦良玉·暴雨梨花槍	1
4	1503	袁承志·碧血劍	1
4	1504	鰲拜·斬鯊刀	1
4	1505	韓世忠·霸虎刀	1
4	1506	赤睛虎皇·白虎之爪	1
4	1507	撼天熊皇·暴君之牙	1
4	1508	紫背鱷皇·紫金之鱗	1
