AttribType	Level	FightPower	AttribValue	Value1	Value2	Value3	SpecialDesc
vitality_v	1	15	15000	8			
vitality_v	2	22	22500	15			
vitality_v	3	30	30000	23			
vitality_v	4	45	45000	30			
vitality_v	5	60	60000	38			
vitality_v	6	90	90000	45			
vitality_v	7	120	120000	53			
vitality_v	8	180	180000	60			
vitality_v	9	300	300000	68			
vitality_v	10	480	480000	75			
vitality_v	11	750	720000	83			
vitality_v	12	1200	1080000	90			
vitality_v	13	1800	1500000	98			
vitality_v	14	3000	2400000	105			
vitality_v	15	4800	3000000	113			
vitality_v	16	7200	3600000	120			
vitality_v	17	7800	4500000	128			
vitality_v	18	8400	5400000	135			
vitality_v	19	9000	7200000	143			
vitality_v	20	9600	9000000	150			
vitality_v	21	10800	10800000	160			
vitality_v	22	12600	12600000	165			
vitality_v	23	14400	14400000	174			
vitality_v	24	16200	16200000	180			
vitality_v	25	18000	18000000	190			
vitality_v	26	19800	19800000	195			
vitality_v	27	21600	21600000	204			
vitality_v	28	23400	23400000	210			
vitality_v	29	25200	25200000	220			
vitality_v	30	27000	27000000	225			
energy_v	1	15	15000	8			
energy_v	2	22	22500	15			
energy_v	3	30	30000	23			
energy_v	4	45	45000	30			
energy_v	5	60	60000	38			
energy_v	6	90	90000	45			
energy_v	7	120	120000	53			
energy_v	8	180	180000	60			
energy_v	9	300	300000	68			
energy_v	10	480	480000	75			
energy_v	11	750	720000	83			
energy_v	12	1200	1080000	90			
energy_v	13	1800	1500000	98			
energy_v	14	3000	2400000	105			
energy_v	15	4800	3000000	113			
energy_v	16	7200	3600000	120			
energy_v	17	7800	4500000	128			
energy_v	18	8400	5400000	135			
energy_v	19	9000	7200000	143			
energy_v	20	9600	9000000	150			
energy_v	21	10800	10800000	160			
energy_v	22	12600	12600000	165			
energy_v	23	14400	14400000	174			
energy_v	24	16200	16200000	180			
energy_v	25	18000	18000000	190			
energy_v	26	19800	19800000	195			
energy_v	27	21600	21600000	204			
energy_v	28	23400	23400000	210			
energy_v	29	25200	25200000	220			
energy_v	30	27000	27000000	225			
strength_v	1	15	15000	8			
strength_v	2	22	22500	15			
strength_v	3	30	30000	23			
strength_v	4	45	45000	30			
strength_v	5	60	60000	38			
strength_v	6	90	90000	45			
strength_v	7	120	120000	53			
strength_v	8	180	180000	60			
strength_v	9	300	300000	68			
strength_v	10	480	480000	75			
strength_v	11	750	720000	83			
strength_v	12	1200	1080000	90			
strength_v	13	1800	1500000	98			
strength_v	14	3000	2400000	105			
strength_v	15	4800	3000000	113			
strength_v	16	7200	3600000	120			
strength_v	17	7800	4500000	128			
strength_v	18	8400	5400000	135			
strength_v	19	9000	7200000	143			
strength_v	20	9600	9000000	150			
strength_v	21	10800	10800000	160			
strength_v	22	12600	12600000	165			
strength_v	23	14400	14400000	174			
strength_v	24	16200	16200000	180			
strength_v	25	18000	18000000	190			
strength_v	26	19800	19800000	195			
strength_v	27	21600	21600000	204			
strength_v	28	23400	23400000	210			
strength_v	29	25200	25200000	220			
strength_v	30	27000	27000000	225			
dexterity_v	1	15	15000	8			
dexterity_v	2	22	22500	15			
dexterity_v	3	30	30000	23			
dexterity_v	4	45	45000	30			
dexterity_v	5	60	60000	38			
dexterity_v	6	90	90000	45			
dexterity_v	7	120	120000	53			
dexterity_v	8	180	180000	60			
dexterity_v	9	300	300000	68			
dexterity_v	10	480	480000	75			
dexterity_v	11	750	720000	83			
dexterity_v	12	1200	1080000	90			
dexterity_v	13	1800	1500000	98			
dexterity_v	14	3000	2400000	105			
dexterity_v	15	4800	3000000	113			
dexterity_v	16	7200	3600000	120			
dexterity_v	17	7800	4500000	128			
dexterity_v	18	8400	5400000	135			
dexterity_v	19	9000	7200000	143			
dexterity_v	20	9600	9000000	150			
dexterity_v	21	10800	10800000	160			
dexterity_v	22	12600	12600000	165			
dexterity_v	23	14400	14400000	174			
dexterity_v	24	16200	16200000	180			
dexterity_v	25	18000	18000000	190			
dexterity_v	26	19800	19800000	195			
dexterity_v	27	21600	21600000	204			
dexterity_v	28	23400	23400000	210			
dexterity_v	29	25200	25200000	220			
dexterity_v	30	27000	27000000	225			
lifemax_v	1	15	15000	150			
lifemax_v	2	22	22500	300			
