nId	nLevelMin	nLevelMax	szTimeBegin	szTimeEnd	tbAwardInfo	Desc
1	1	999	OpenLevel129		Item|5821	武林盟主：T11稀有衣服碎片
1	1	999	OpenLevel119	OpenLevel129	Item|3679	武林盟主：T10稀有衣服碎片
1	1	999	OpenLevel109	OpenLevel119	Item|2981	武林盟主：T9稀有衣服碎片
1	1	999	OpenLevel99	OpenLevel109	Item|2980	武林盟主：T8稀有衣服碎片
1	1	999	OpenDay188		Item|1396	武林盟主：帝皇令
1	1	999	OpenLevel89		Item|3445	武林盟主：赤金驭天绳（3阶缰绳）
1	1	999	OpenLevel89		Item|3416	武林盟主：苍虹降龙绳（2阶缰绳）
1	1	999	OpenLevel89		Item|2804	武林盟主：和氏璧
1	1	999	OpenLevel89	OpenLevel99	Item|2979	武林盟主：T7稀有衣服碎片
1	1	999	OpenLevel109		Item|2255	武林盟主：唐简同伴
1	1	999	OpenLevel89	OpenLevel109	Item|2254	武林盟主：杨影枫同伴
1	1	999	OpenLevel79	OpenLevel89	Item|2253	武林盟主：南宫飞云同伴
1	1	999	OpenLevel49	OpenLevel69	Item|1378	武林盟主：独孤剑同伴
1	1	999	OpenLevel109		Item|3897	武林盟主：唐简魂石
1	1	999	OpenLevel89	OpenLevel109	Item|2881	武林盟主：杨影枫魂石
1	1	999	OpenLevel79	OpenLevel109	Item|2880	武林盟主：南宫飞云魂石
1	1	999	OpenLevel79	OpenLevel109	Item|2668	武林盟主：独孤剑魂石
1	1	999	OpenDay399		Item|4310	武林盟主：5级金属
1	1	999	OpenDay224	OpenDay399	Item|4309	武林盟主：4级金属
1	1	999	OpenDay99	OpenDay224	Item|4308	武林盟主：3级金属
1	1	999	OpenLevel69	OpenDay99	Item|4307	武林盟主：2级金属
1	1	999	OpenLevel79	OpenLevel89	Item|1395	武林盟主：逐鹿令
1	1	999	OpenLevel79	OpenLevel89	Item|2126	武林盟主：T6稀有衣服碎片
1	1	999	OpenLevel69	OpenLevel79	Item|2125	武林盟主：T5稀有衣服碎片
1	1	999	OpenLevel59	OpenLevel89	Item|1394	武林盟主：名将令
1	1	999	OpenLevel59	OpenLevel69	Item|2124	武林盟主：T4稀有衣服碎片
1	1	999	OpenLevel49	OpenLevel59	Item|1184	武林盟主：T3稀有衣服
1	1	999		OpenLevel49	Item|1183	武林盟主：T2稀有衣服
1	1	999		OpenLevel89	Item|1393	武林盟主：盟主令
1	1	999		OpenLevel89	Contrib|0	武林盟主：贡献
2	1	59			Item|787	商会；藏宝图
2	60	150			Item|3013	商会；未鉴定的卷轴
2	1	150			Item|786	商会；黄金宝箱
2	1	39			Item|1153	商会；T2稀有玉佩
2	1	39			Item|1637	商会；T2传承玉佩
2	40	49			Item|1154	商会；T3稀有玉佩
2	40	49			Item|1638	商会；T3传承玉佩
2	50	59			Item|2106	商会；T4稀有玉佩碎片
2	50	59			Item|2109	商会；T4传承玉佩碎片
2	60	69			Item|2107	商会；T5稀有玉佩碎片
2	60	69			Item|2110	商会；T5传承玉佩碎片
2	70	79			Item|2108	商会；T6稀有玉佩碎片
2	70	79			Item|2111	商会；T6传承玉佩碎片
2	80	89			Item|2961	商会；T7稀有玉佩碎片
2	80	89			Item|2964	商会；T7传承玉佩碎片
2	90	99			Item|2962	商会；T8稀有玉佩碎片
2	90	150			Item|4873	商会；初级魂石·宋秋石
2	90	99			Item|2965	商会；T8传承玉佩碎片
2	100	109			Item|2963	商会；T9稀有玉佩碎片
2	100	109			Item|2966	商会；T9传承玉佩碎片
2	110	119			Item|3673	商会；T10稀有玉佩碎片
2	110	119			Item|3674	商会；T10传承玉佩碎片
2	120	129			Item|5791	商会；T11稀有玉佩碎片
2	120	129			Item|5796	商会；T11传承玉佩碎片
3	1	150			Item|1346	战场：经验
3	1	150			Contrib|0	战场：贡献
3	1	150			Item|1737	战场：魂石·邵宏渊
3	1	150			Item|1738	战场：魂石·白彦敬
3	60	150			Item|2535	战场：魂石·李显忠
3	60	150			Item|2536	战场：魂石·徒单克宁
3	80	150			Item|3476	战场：高级脚蹬碎片
3	1	39			Item|1143	战场：T2稀有戒指
3	40	49			Item|1144	战场：T3稀有戒指
3	50	59			Item|2100	战场：T4稀有戒指碎片
3	60	69			Item|2101	战场：T5稀有戒指碎片
3	70	79			Item|2102	战场：T6稀有戒指碎片
3	80	89			Item|2955	战场：T7稀有戒指碎片
3	90	99			Item|2956	战场：T8稀有戒指碎片
3	100	109			Item|2957	战场：T9稀有戒指碎片
3	110	119			Item|3671	战场：T10稀有戒指碎片
3	120	129			Item|5771	战场：T11稀有戒指碎片
4	1	150			Item|1343	藏宝图；古董
4	60	150			Item|4464	藏宝图；家具材料
4	1	150			Item|1381	藏宝图；水晶
4	1	150			Item|786	藏宝图；黄金宝箱
4	1	150			Item|785	藏宝图；黄金钥匙
4	1	150			Item|792	藏宝图；古旧的宝箱
4	1	150			Coin|0	藏宝图；银两
6	1	150			Contrib|0	惩恶；贡献
6	1	150			Item|1346	惩恶；经验
6	1	39			Item|1669	惩恶；T2传承护腕
6	1	39			Item|1193	惩恶；T2稀有护腕
6	40	49			Item|1670	惩恶；T3传承护腕
6	40	49			Item|1194	惩恶；T3稀有护腕
6	50	59			Item|2133	惩恶；T4传承护腕碎片
6	50	59			Item|2130	惩恶；T4稀有护腕碎片
6	60	69			Item|2134	惩恶；T5传承护腕碎片
6	60	69			Item|2131	惩恶；T5稀有护腕碎片
6	70	79			Item|2135	惩恶；T6传承护腕碎片
6	70	79			Item|2132	惩恶；T6稀有护腕碎片
6	80	89			Item|2988	惩恶；T7传承护腕碎片
6	80	89			Item|2985	惩恶；T7稀有护腕碎片
6	90	99			Item|2989	惩恶；T8传承护腕碎片
6	90	99			Item|2986	惩恶；T8稀有护腕碎片
6	100	109			Item|2990	惩恶；T9传承护腕碎片
6	100	109			Item|2987	惩恶；T9稀有护腕碎片
6	110	119			Item|3682	惩恶；T10传承护腕碎片
6	110	119			Item|3681	惩恶；T10稀有护腕碎片
6	120	129			Item|5836	惩恶；T11传承护腕碎片
6	120	129			Item|5831	惩恶；T11稀有护腕碎片
7	1	150			Item|1346	组队秘境；经验
7	1	150			Item|1381	组队秘境；水晶
7	1	39			Item|1173	组队秘境：【稀有】2级帽子
7	40	49			Item|1174	组队秘境：【稀有】3级帽子
