Desc	ActEventID	EventType	Frame	EventName	EventParam1	EventParam2	EventParam3	EventParam4	EventParam5	EventParamStr
CastSkill通用0幀	1	1		CastSkill						
CastSkill通用0幀	1	1		PlayEffect						
CastSkill通用1幀	6001	2	1	CastSkill						
CastSkill通用1幀	6001	2	1	PlayEffect						
CastSkill通用2幀	6002	2	2	CastSkill						
CastSkill通用2幀	6002	2	2	PlayEffect						
CastSkill通用3幀	6003	2	3	CastSkill						
CastSkill通用3幀	6003	2	3	PlayEffect						
CastSkill通用4幀	6004	2	4	CastSkill						
CastSkill通用4幀	6004	2	4	PlayEffect						
CastSkill通用5幀	6005	2	5	CastSkill						
CastSkill通用5幀	6005	2	5	PlayEffect						
CastSkill通用6幀	6006	2	6	CastSkill						
CastSkill通用6幀	6006	2	6	PlayEffect						
CastSkill通用7幀	6007	2	7	CastSkill						
CastSkill通用7幀	6007	2	7	PlayEffect						
CastSkill通用8幀	6008	2	8	CastSkill						
CastSkill通用8幀	6008	2	8	PlayEffect						
CastSkill通用9幀	6009	2	9	CastSkill						
CastSkill通用9幀	6009	2	9	PlayEffect						
CastSkill通用10幀	6010	2	10	CastSkill						
CastSkill通用10幀	6010	2	10	PlayEffect						
通用動作融合	1000	3		CrossFade	1					
特殊死亡_擊飛_近	80001	1		CrossFade	1					
特殊死亡_擊飛_近	80001	1		ChangeAct	20	18				
特殊死亡_擊飛_近	80001	1		MoveBack	150	40				
特殊死亡_擊飛_遠	80002	1		CrossFade	1					
特殊死亡_擊飛_遠	80002	1		ChangeAct	20	18				
特殊死亡_擊飛_遠	80002	1		MoveBack	350	50				
特殊死亡_冰凍	80003	1		PlayEffect	9001					
特殊死亡_冰凍	80003	1		UseLastAct	1					
特殊死亡_冰凍	80003	3		PlaySceneEffect	9003					
特殊死亡_冰凍	80003	3		UseLastAct	0					
特殊死亡_冰凍	80003	3		ClearEffect	9001					
光牆消失	80004	1		PlayEffect	9020					
光牆消失	80004	1		BodyVisable						
NPC出場（通用站立）	900000	1		ChangeAct	1	4				
NPC出場（通用站立）	900000	1		Protected	1					
NPC出場（通用站立）	900000	1		HeadUIVisable	0					
NPC出場（通用站立）	900000	3		Protected	0					
NPC出場（通用站立）	900000	3		HeadUIVisable	1					
NPC出場（通用飛入）	900001	1		ChangeAct	6					
NPC出場（通用飛入）	900001	1		CrossFade	1					
NPC出場（通用飛入）	900001	1		Protected	1					
NPC出場（通用飛入）	900001	1		HeadUIVisable	0					
NPC出場（通用飛入）	900001	3		Protected	0					
NPC出場（通用飛入）	900001	3		HeadUIVisable	1					
NPC出場（通用飛入）	900001	3		CrossFade	1					
NPC出場（通用出水）	900004	1		ChangeAct	6					
NPC出場（通用出水）	900004	1		CrossFade	1					
NPC出場（通用出水）	900004	1		Protected	1					
NPC出場（通用出水）	900004	1		HeadUIVisable	0					
NPC出場（通用出水）	900004	1		PlayEffect	9021					
NPC出場（通用出水）	900004	3		Protected	0					
NPC出場（通用出水）	900004	3		HeadUIVisable	1					
NPC出場（通用出水）	900004	3		CrossFade	1					
NPC出場（龍戰天）	900002	1		ChangeAct	6					
NPC出場（龍戰天）	900002	1		CrossFade	1					
NPC出場（龍戰天）	900002	1		Protected	1					
NPC出場（龍戰天）	900002	1		HeadUIVisable	0					
NPC出場（龍戰天）	900002	2	4	Protected	0					
NPC出場（龍戰天）	900002	2	5	PlayShake	150	100	1	1	1	
NPC出場（龍戰天）	900002	2	5	PlayEffect	9015					
NPC出場（龍戰天）	900002	2	5	CastSkill	1515	1				
NPC出場（龍戰天）	900002	3		HeadUIVisable	1					
NPC出場（龍戰天）	900002	3		CrossFade	1					
NPC出場（七煞使）	900003	1		ChangeAct	6					
NPC出場（七煞使）	900003	1		CrossFade	1					
NPC出場（七煞使）	900003	1		Protected	1					
NPC出場（七煞使）	900003	1		HeadUIVisable	0					
NPC出場（七煞使）	900003	2	6	Protected	0					
NPC出場（七煞使）	900003	2	7	PlayShake	150	100	1	1	1	
NPC出場（七煞使）	900003	2	7	PlayEffect	9015					
NPC出場（七煞使）	900003	2	7	CastSkill	1515	1				
NPC出場（七煞使）	900003	3		HeadUIVisable	1					
NPC出場（七煞使）	900003	3		CrossFade	1					
NPC出場（蘇墨芸）	900005	1		ChangeAct	17	20				
NPC出場（蘇墨芸）	900005	1		Protected	1					
NPC出場（蘇墨芸）	900005	1		HeadUIVisable	0					
NPC出場（蘇墨芸）	900005	2	10	PlayShake	150	100	1	1	1	
NPC出場（蘇墨芸）	900005	2	10	PlayEffect	9015					
NPC出場（蘇墨芸）	900005	2	10	CastSkill	1515	1				
NPC出場（蘇墨芸）	900005	3		Protected	0					
NPC出場（蘇墨芸）	900005	3		HeadUIVisable	1					
NPC出場（張仲天）	900006	1		ChangeAct	29					
NPC出場（張仲天）	900006	1		CrossFade	1					
NPC出場（張仲天）	900006	1		Protected	1					
NPC出場（張仲天）	900006	1		HeadUIVisable	0					
NPC出場（張仲天）	900006	2	6	Protected	0					
NPC出場（張仲天）	900006	2	7	PlayShake	150	100	1	1	1	
NPC出場（張仲天）	900006	2	132	PlayEffect	9015					
NPC出場（張仲天）	900006	2	7	CastSkill	1515	1				
NPC出場（張仲天）	900006	3		HeadUIVisable	1					
NPC出場（張仲天）	900006	3		CrossFade	1					
NPC出場（神秘劍客）	900007	1		ChangeAct	6					
NPC出場（神秘劍客）	900007	1		CrossFade	1					
NPC出場（神秘劍客）	900007	1		Protected	1					
NPC出場（神秘劍客）	900007	2	6	Protected	0					
NPC出場（神秘劍客）	900007	2	7	PlayShake	150	100	1	1	1	
