szHelpKey	szBigTitle	nHead	nIndex	szTitle	Function	FunParam	szContent
BossHelp	武林盟主須知		1	積分獲取			挑戰盟主，根據對武林盟主造成的傷害換算成積分，積分比例會跟隨盟主血量變化，盟主生命在[FFFE0D] 60% [-]以下獲得[FFFE0D] 2倍積分 [-]，[FFFE0D] 30% [-]以下獲得[FFFE0D] 3倍積分 [-]\n搶奪積分，擊敗[FFFE0D] 非好友 [-]和[FFFE0D] 非幫派成員 [-]俠士即可搶奪[FFFE0D] 一定比例的積分 [-]。
BossHelp	武林盟主須知		2	搶分規則			每擊敗對方的一名[FFFE0D] 同伴 [-]獲得[FFFE0D] 少量 [-]積分，擊敗對方[FFFE0D] 角色 [-]獲得[FFFE0D] 大量 [-]積分；\n搶奪積分後雙方結為仇人，被搶奪的俠士獲得保護時間；\n不可挑戰頭銜高於自身三階的俠士
BossHelp	武林盟主須知		3	挑戰規則			挑戰盟主與搶奪積分均有[FFFE0D] 3分鐘 [-]的冷卻時間，兩者的冷卻時間分別計算，進入戰鬥就將開始計算冷卻。
BossHelp	武林盟主須知		4	幫派獎勵			根據[FFFE0D] 幫派積分排名 [-]結算，獎勵將進行幫派拍賣，[FFFE0D]參與者越多 [-]獎勵越多；幫派積分，即本次獲得，所有幫派參與成員的[FFFE0D] 積分總和 [-]；\n成員獎勵，根據幫派最終的[FFFE0D] 總積分排名 [-]給予每名成員額外的貢獻；
BossHelp	武林盟主須知		5	個人獎勵			個人獎勵，根據個人積分最終排名獲得[FFFE0D] 貢獻 [-] 獎勵，排名越高貢獻越多；
RankHelp	武神殿須知		1	挑戰規則			挑戰次數，每[FFFE0D] 4小時 [-]回復1次挑戰次數，最多回復到[FFFE0D] 10次[-]；\n挑戰獎勵，挑戰將獲得經驗，挑戰成功獲得的經驗值略高於挑戰失敗。
RankHelp	武神殿須知		2	排名獎勵			每天晚上[FFFE0D] 22:00 [-]點，將根據俠士目前排名發放[FFFE0D] 榮譽[-]，榮譽將自動兌換為[FFFE0D] 武神黃金箱 [-]與[FFFE0D] 武神白銀箱[-]。\n每[FFFE0D] 1000榮譽 [-]兌換一個[FFFE0D] 武神黃金箱 [-]；每[FFFE0D] 500榮譽 [-]兌換一個[FFFE0D] 武神白銀箱 [-]
RankHelp	武神殿須知		3	獎勵規則			排名[FFFE0D] 前400[-]，將優先自動兌換[FFFE0D] 武神黃金箱[-]，然後兌換[FFFE0D] 武神白銀箱[-]；\n排名[FFFE0D] 400以後[-]，榮譽不可兌換[FFFE0D] 武神黃金箱[-]，僅自動兌換[FFFE0D] 武神白銀箱[-]；\n兌換完畢後的[FFFE0D] 武神寶箱 [-]需手動領取，剩餘榮譽將累積；
RankHelp	武神殿須知		4	獎勵保留			[FFFE0D]僅保留一次 [-]寶箱獎勵，俠士們要記得每天晚上[FFFE0D] 22:00 [-]點來領取獎勵，否則下次結算可能會被替換為新的獎勵哦！
FubenHelp	關卡須知		1	星級獎勵			每一章的關卡拿到7星、14星、21星時可分別領取一份獎勵，星級獎勵只與[FFFE0D] 通關時間 [-]有關，三星通關後即可對該關卡進行掃蕩！
FubenHelp	關卡須知		2	關卡經驗			關卡獲得經驗的多少只與[FFFE0D] 角色等級 [-]和[FFFE0D] 消耗體力 [-]相關，所以不用擔心在低級關卡收集符文的時候會損失經驗哦！
FubenHelp	關卡須知		3	關卡設置			普通關卡以掉落[FFFE0D] 同伴符文 [-]為主，精英關卡以掉落[FFFE0D] 同伴魂魄 [-]為主，每章的第[FFFE0D] 3 [-]關、第[FFFE0D] 5 [-]關是頭目關，第[FFFE0D] 7 [-]關則是BOSS關，每日可以重複進行的次數較少，但掉落更好哦！
HonorLevelHelp	頭銜須知		1	頭銜作用			頭銜是俠士綜合能力的體現，除了會給予俠士[FFFE0D] 名前標識 [-]，還將獲得[FFFE0D] 戰力 [-]，此外，頭銜高的俠士對頭銜低的俠士有著天然的優勢！
HonorLevelHelp	頭銜須知		2	晉升要求			低級頭銜的晉升僅有一個要求——[FFFE0D] 戰力[-]，高級頭銜的晉升除了戰力以外，還需要繳納[FFFE0D] 特定的頭銜令牌 [-]，不同的活動會產出不同的頭銜令牌。
ActivityQuestionHelp	答題須知		1	答題規則			答題每天可以參加1次，共10題，[FFFE0D]沒有時間限制[-]，遇見不會的題目不要著急，不妨先去找好友或者幫派尋求幫助哦。
ActivityQuestionHelp	答題須知		2	答題獎勵			答題將獲得經驗獎勵，答對的經驗略高於答錯；全部題目回答完畢後，[FFFE0D] 無論對錯[-]，都將獲得[FFFE0D] 藏寶圖[-]。
FamilyHelp	幫派須知		1	進幫限制			每 [FFFE0D]24小時[-] 只能進 [FFFE0D]一次[-] 幫派，請謹慎選擇幫派。
FamilyHelp	幫派須知		2	幫派總堂主			第一任堂主即為第一任總堂主，總堂主只擁有 [FFFE0D]任免堂主[-] 的許可權。
FamilyHelp	幫派須知		3	總堂主更替			現任總堂主 [FFFE0D]離線7天[-]，會自動進行下一任總堂主的評選。評選 [FFFE0D]準備期3天[-]，3天后幫派內 [FFFE0D]歷史貢獻最多[-] 且 [FFFE0D]“最近登入過遊戲”[-] 的成員自動被評選為新一任總堂主。
FamilyHelp	幫派須知		4	威望獲得			幫派成員參與特定活動，幫派將根據規則獲得威望值。\n活動包括：[FFFE0D] 武林盟主、歷代名將、幫派試煉、幫派烤火、白虎堂、幫派運鏢、攻城戰 [-]
FamilyHelp	幫派須知		5	威望規則			[FFFE0D]白虎堂[-]活動每天增加的幫派威望是有上限的，達到上限後當日不再獲得。\n威望值在[FFFE0D]每週一凌晨0點[-]衰減[FFFE0D]20%[-]
FamilyHelp	幫派須知		6	幫派薪水			每週一淩晨4點，根據幫派上周活躍評價給予 [FFFE0D]堂主、副堂主、長老、吉祥物[-] 發放工資。幫派工資與 [FFFE0D]職位、個人日均活躍、幫派總活躍[-] 有關。\n[FFFE0D]（活躍即每日目標完成度，週一淩晨4點重置。任職未滿24小時無工資）[-]
