TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel
61	T1衣服	T1_Armor_Q1	6101	2	1	1	1	1			1		15000	1	15000	1	equip		0	lifemax_v	900			metal_resist_v	45																																											
62	T2衣服	T2_Armor_Q1	6102	2	1	2	30	3			1		30000	2	30000	1	equip		0	lifemax_v	1200			metal_resist_v	60																																										1	2
63	T3衣服	T3_Armor_Q1	6103	2	1	3	45	6			1		60000	3	60000	1	equip		0	lifemax_v	1500			metal_resist_v	75																																										2	3
64	T4衣服	T4_Armor_Q1	6104	2	1	4	55	9			1		120000	4	120000	1	equip		0	lifemax_v	2250			metal_resist_v	90																																										3	4
65	T5衣服	T5_Armor_Q1	6105	2	1	5	65	12			1		240000	5	240000	1	equip		0	lifemax_v	3000			metal_resist_v	113																																										4	4
66	T6衣服	T6_Armor_Q1	6106	2	1	6	75	15			1		480000	6	480000	1	equip		0	lifemax_v	3750			metal_resist_v	135																																										4	5
67	T7衣服	T7_Armor_Q1	6107	2	1	7	85	18			1		960000	7	960000	1	equip		0	lifemax_v	4500			metal_resist_v	158																																										4	5
68	T8衣服	T8_Armor_Q1	6108	2	1	8	95	21			1		1350000	8	1350000	1	equip		0	lifemax_v	5250			metal_resist_v	180																																										5	5
69	T9衣服	T9_Armor_Q1	6109	2	1	9	105	24			1		1800000	8	1800000	1	equip		0	lifemax_v	6000			metal_resist_v	200																																										6	6
70	T10衣服	T10_Armor_Q1	6110	2	1	10	115	27			1		2400000	8	2400000	1	equip		0	lifemax_v	6750			metal_resist_v	220																																										7	6
4961	T11衣服	T11_Armor_Q1	6311	2	1	11	125	30			1		3300000	8	3300000	1	equip		0	lifemax_v	7500			metal_resist_v	240																																										7	7
4962	T12衣服	T12_Armor_Q1	6312	2	1	12	135	27			1		2400000	8	2400000	1	equip		0	lifemax_v	6750			metal_resist_v	220																																										7	6
