nResId	Desc	szResPath
1	床_標男	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_biaonan.prefab
2	床_標女	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_biaonv.prefab
3	床_蘿莉	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_luoli.prefab
4	床_逍遙	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_xiaoyao.prefab
5	床_少林	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_shaolin.prefab
6	浴缸_標男	Scenes/Meshes/sn_jiayuan/Prefabs/yupen_biaonan01.prefab
7	浴缸_標女	Scenes/Meshes/sn_jiayuan/Prefabs/yupen_biaonv01.prefab
8	浴缸_蘿莉	Scenes/Meshes/sn_jiayuan/Prefabs/yupen_taohua01.prefab
9	浴缸_逍遙	Scenes/Meshes/sn_jiayuan/Prefabs/yupen_xiaoyao01.prefab
10	浴缸_少林	Scenes/Meshes/sn_jiayuan/Prefabs/yupen_shaolin01.prefab
11	雙人姿勢被單_1	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_shuangren01.prefab
12	雙人姿勢被單_2	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_shuangren02.prefab
13	雙人姿勢被單_3	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_shuangren03.prefab
14	雙人姿勢頭_標男	Scenes/Meshes/sn_jiayuan/Prefabs/tou_biaonan01.prefab
15	雙人姿勢頭_標女	Scenes/Meshes/sn_jiayuan/Prefabs/tou_biaonv01.prefab
16	雙人姿勢頭_蘿莉	Scenes/Meshes/sn_jiayuan/Prefabs/tou_luoli01.prefab
17	雙人姿勢頭_少林	Scenes/Meshes/sn_jiayuan/Prefabs/tou_shaolin01.prefab
18	雙人姿勢頭_逍遙	Scenes/Meshes/sn_jiayuan/Prefabs/tou_xiaoyao01.prefab
