TemplateId	Faction	ChooseItem	Num	TimeFrame	Level	CheckLimit	ThisNeedCount	Desc
2153		1134	1					T3稀有项链
2153		1144	1					T3稀有戒指
2153		1154	1					T3稀有玉佩
2153		1164	1					T3稀有护身符
3521		1135	1					T4稀有项链
3521		1145	1					T4稀有戒指
3521		1155	1					T4稀有玉佩
3521		1165	1					T4稀有护身符
3522		1136	1					T5稀有项链
3522		1146	1					T5稀有戒指
3522		1156	1					T5稀有玉佩
3522		1166	1					T5稀有护身符
3523		1137	1					T6稀有项链
3523		1147	1					T6稀有戒指
3523		1157	1					T6稀有玉佩
3523		1167	1					T6稀有护身符
2306		1135	1					
2306		1145	1					
2306		1155	1					
2306		1165	1					
2307		1175	1					
2307		1195	1					
2307		1205	1					
2307		1215	1					
2424	1	2398	1					
2424	1	2401	1					
2424	1	2719	1					
2424	1	2402	1					
2424	2	2720	1					
2424	2	2403	1					
2424	2	2404	1					
2424	2	2405	1					
2424	4	2721	1					
2424	4	2406	1					
2424	4	2407	1					
2424	4	2408	1					
2424	3	2409	1					
2424	3	2722	1					
2424	3	2410	1					
2424	3	2411	1					
2424	5	2412	1					
2424	5	2414	1					
2424	5	2413	1					
2424	5	2723	1					
2424	6	2724	1					
2424	6	2415	1					
2424	6	2416	1					
2424	6	2417	1					
2424	7	2713	1					
2424	7	2714	1					
2424	7	2715	1					
2424	7	2749	1					
2424	8	2716	1					
2424	8	2717	1					
2424	8	2718	1					
2424	8	2750	1					
2424	9	3267	1					
2424	9	3268	1					
2424	9	3269	1					
2424	9	3270	1					
2424	10	3271	1					
2424	10	3272	1					
2424	10	3273	1					
2424	10	3274	1					
2424	11	4021	1					
2424	11	4022	1					
2424	11	4023	1					
2424	11	4024	1					
2424	12	4025	1					
2424	12	4026	1					
2424	12	4027	1					
2424	12	4028	1					
2424	13	5201	1					
2424	13	5202	1					
2424	13	5203	1					
2424	13	5204	1					
2424	14	5205	1					
2424	14	5206	1					
2424	14	5207	1					
2424	14	5208	1					
2424		4579	1	OpenLevel119			30	提高技能上限1
2424		4580	1	OpenLevel119			30	提高技能上限2
2424		4581	1	OpenLevel119			30	提高技能上限3
2424		4582	1	OpenLevel119			30	提高技能上限4
2699		2528	1			1		【4级魂石任选】初级魂石·杨瑛
2699		2529	1					初级魂石·清晓师太
2699		2530	1					初级魂石·祝子虚
2699		2531	1					初级魂石·黄暮云
2699		2532	1	OpenLevel69				初级魂石·道一真人
2699		2533	1					初级魂石·端木睿
2699		1754	1	OpenLevel89				初级魂石·赤睛虎皇
2699		1755	1	OpenLevel89				初级魂石·撼天熊皇
2699		1756	1	OpenLevel89				初级魂石·紫背鳄皇
2699		1757	1	OpenLevel69				初级魂石·定海金刚
2699		1758	1	OpenLevel69				初级魂石·金翅鹏皇
2699		1759	1	OpenLevel69				初级魂石·银角犀皇
2699		2534	1					初级魂石·孟知秋
2699		2535	1					初级魂石·李显忠
2699		2536	1					初级魂石·徒单克宁
2699		2696	1	OpenLevel79				初级魂石·完颜洪烈
2699		2824	1	OpenLevel89				初级魂石·玄天武机
2699		2825	1	OpenLevel89				初级魂石·白起
2699		2826	1	OpenLevel89				初级魂石·李斯
2699		2848	1	OpenLevel69				初级魂石·玄因
2699		3022	1	OpenLevel89				初级魂石·雷
2699		3215	1	OpenLevel99				初级魂石·李元霸
2699		3216	1	OpenLevel99				初级魂石·赵云
2699		3217	1	OpenLevel99				初级魂石·李广
2699		2672	1	OpenLevel69				初级魂石·荆轲
2699		2673	1	OpenLevel69				初级魂石·虞姬
2699		2674	1	OpenLevel69				初级魂石·岳飞
2699		2668	1	OpenLevel79		1		初级魂石·独孤剑
2699		2880	1	OpenLevel89		1		初级魂石·南宫飞云
2699		2881	1	OpenLevel99		1		初级魂石·杨影枫
2699		3371	1	OpenLevel99				初级魂石·尹含烟
2699		3372	1	OpenLevel99		1		初级魂石·璇玑子
2699		3373	1	OpenLevel99		1		初级魂石·玄天道人
2699		3709	1	OpenLevel79				初级魂石·年兽
