nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat
1	MainTask1_1	[主]紅塵如夢	不行！我一定要想辦法……可惡！身體不聽使喚了……	好像做了一個很長很長的夢	好像做了一個很長很長的夢	[url=pos:test,999,1736,4253]	[url=pos:test,999,1736,4253]				2				1								1	1					999				413			
2	MainTask1_2	[主]夢醒時分	咦？這是哪裡？我仿佛已睡了好久好久，做了一個好長好長的夢，全身都沒有力氣……奇怪，怎地全身都沒有力氣，莫非是睡得太久了？那位姑娘是誰？長得如此之美，莫非是仙境中的仙女不成？等等，她在呼喚我，也許她會告訴我事情的始末。	怎麼回事？這位[FFFE0D]姑娘[-]是？	怎麼回事？這位[FFFE0D]姑娘[-]是？	[url=clientnpcbyidx:test, 1]	[url=clientnpcbyidx:test, 1]	1|4	1|4	1	3	2								Exp|4000000;Coin|5000;Gold|500000;VipExp|300000000		1	1												
3	MainTask1_3	[主]活潑少年	此處離山崖之巔少說也有百丈之高，唉，能僥倖撿回一命已是頗為不易，幸虧有這位小方兄生性活潑，偶然發現了我，不然說不定我可真要死無葬身之地了！得趕緊去道謝！	向[FFFE0D]小殷方[-]道謝	向[FFFE0D]小殷方[-]道謝	[url=clientnpcbyidx:test, 3]	[url=clientnpcbyidx:test, 3]	2|3	3	2	4	3								Exp|4000			1	1												
4	MainTask1_4	[主]忘憂島主	這座小島的主人不知道會是何許人物，去見見他！	前去拜見[FFFE0D]忘憂島主[-]	前去拜見[FFFE0D]忘憂島主[-]	[url=clientnpcbyidx:test, 7]	[url=clientnpcbyidx:test, 7]	2|4|7	2|4|7	3	5	4								Exp|4000			1	1												
5	MainTask1_5	[主]再次道謝	想不到這次雖然保全了性命，卻受了如此嚴重的傷，所幸大難不死，可恨！那偷襲之人武功如此高強，也不知道卓大哥如今怎樣了，唉，罷了罷了，如今也輪不到我來擔心，還是先去向納蘭姑娘道謝吧。	回去見見[FFFE0D]納蘭姑娘[-]	回去見見[FFFE0D]納蘭姑娘[-]	[url=clientnpcbyidx:test, 1]	[url=clientnpcbyidx:test, 1]	1|4|8	1	4	6	5						1	1	Exp|4000;Item|1246|1			1	1												
6	MainTask1_6	[主]小試身手	這位納蘭姑娘淳樸善良，著實是一位好姑娘，嗯，如今我的內傷已經恢復得差不多了，也該找個地方試試身手了，就去那日墜落之地看看吧！	去[FFFE0D]$NP[-]活動筋骨	去[FFFE0D]$NP[-]活動筋骨	[url=gotofuben:test, 1, 1, 1]		2|4|8	2	5	7			1|1|1	1			1		Exp|30000			1	1												
7	MainTask1_7	[主]知己好友	想不到那個黑衣人竟然也已經死了……這麼一來線索可就全斷了，不知道卓大哥如今身在何方，是否安全，能找到他就好了，或許他那裡有線索也說不定。	告訴[FFFE0D]納蘭姑娘[-]途中所見	告訴[FFFE0D]納蘭姑娘[-]途中所見	[url=clientnpcbyidx:test, 1]	[url=clientnpcbyidx:test, 1]	1|4|8	1|8	6	8	7						1	1	Exp|4000;Item|1251|1			1	1												
8	MainTask1_8	[主]翩翩青年	這座忘憂島此前從未聽過，想不到風景如此秀麗，稱之為世外桃源亦不為過，納蘭姑娘更是鐘天地之靈秀，讓人心生安定，不知道這座島的主人，納蘭姑娘的父親會是一個怎樣的人。	和納蘭真一起到[FFFE0D]屋中[-]	和納蘭真一起到[FFFE0D]屋中[-]	[url=pos:test,999,2380,6260]	[url=pos:test,999,2380,6260]	4|5|10	10	7	9	8			1					Exp|4000			1	1	[url=dialog:test, 8]				484							
9	MainTask1_9	[主]同病相憐	納蘭島主性格沉穩，只是感覺有些難以接近，似乎有種不怒自威的感覺，倒是想一派宗師，不知道他是不是武學大家。對了，方才納蘭姑娘朝我使了個眼色，也不知道意欲何為，先過去看看她想對我說些什麼。	到[FFFE0D]床邊[-]看看受傷的楊影楓	到[FFFE0D]床邊[-]看看受傷的楊影楓	[url=taskitem:test, $T]	[url=taskitem:test, $T]	4|5|8|203	203	8	10	9			1	1	9			Exp|4000			1	1	[url=dialog:test, 9]											
10	MainTask1_10	[主]欲言又止	方才納蘭姑娘對我使了個眼色，似乎是讓我出去？	先[FFFE0D]離開[-]屋子	先[FFFE0D]離開[-]屋子	[url=pos:test,484,2700,2260]	[url=pos:test,484,2700,2260]	4|5|8|9|204	5|204	9	11				1					Exp|4000			1	1	[url=clientnpcbyidx:test, 9]				999							
