nId	nLevelMin	nLevelMax	szTimeBegin	szTimeEnd	tbAwardInfo	Desc
1	1	999	OpenLevel129		Item|5821	武林盟主：T11稀有衣服碎片
1	1	999	OpenLevel119	OpenLevel129	Item|3679	武林盟主：T10稀有衣服碎片
1	1	999	OpenLevel109	OpenLevel119	Item|2981	武林盟主：T9稀有衣服碎片
1	1	999	OpenLevel99	OpenLevel109	Item|2980	武林盟主：T8稀有衣服碎片
1	1	999	OpenDay188		Item|1396	武林盟主：帝皇令
1	1	999	OpenLevel89		Item|3445	武林盟主：赤金馭天繩（3階韁繩）
1	1	999	OpenLevel89		Item|3416	武林盟主：蒼虹降龍繩（2階韁繩）
1	1	999	OpenLevel89		Item|2804	武林盟主：和氏璧
1	1	999	OpenLevel89	OpenLevel99	Item|2979	武林盟主：T7稀有衣服碎片
1	1	999	OpenLevel109		Item|2255	武林盟主：唐簡同伴
1	1	999	OpenLevel89	OpenLevel109	Item|2254	武林盟主：楊影楓同伴
1	1	999	OpenLevel79	OpenLevel89	Item|2253	武林盟主：南宮飛雲同伴
1	1	999	OpenLevel49	OpenLevel69	Item|1378	武林盟主：獨孤劍同伴
1	1	999	OpenLevel109		Item|3897	武林盟主：唐簡魂石
1	1	999	OpenLevel89	OpenLevel109	Item|2881	武林盟主：楊影楓魂石
1	1	999	OpenLevel79	OpenLevel109	Item|2880	武林盟主：南宮飛雲魂石
1	1	999	OpenLevel79	OpenLevel109	Item|2668	武林盟主：獨孤劍魂石
1	1	999	OpenDay399		Item|4310	武林盟主：5級金屬
1	1	999	OpenDay224	OpenDay399	Item|4309	武林盟主：4級金屬
1	1	999	OpenDay99	OpenDay224	Item|4308	武林盟主：3級金屬
1	1	999	OpenLevel69	OpenDay99	Item|4307	武林盟主：2級金屬
1	1	999	OpenLevel79	OpenLevel89	Item|1395	武林盟主：逐鹿令
1	1	999	OpenLevel79	OpenLevel89	Item|2126	武林盟主：T6稀有衣服碎片
1	1	999	OpenLevel69	OpenLevel79	Item|2125	武林盟主：T5稀有衣服碎片
1	1	999	OpenLevel59	OpenLevel89	Item|1394	武林盟主：名將令
1	1	999	OpenLevel59	OpenLevel69	Item|2124	武林盟主：T4稀有衣服碎片
1	1	999	OpenLevel49	OpenLevel59	Item|1184	武林盟主：T3稀有衣服
1	1	999		OpenLevel49	Item|1183	武林盟主：T2稀有衣服
1	1	999		OpenLevel89	Item|1393	武林盟主：盟主令
1	1	999		OpenLevel89	Contrib|0	武林盟主：貢獻
2	1	59			Item|787	商會；藏寶圖
2	60	150			Item|3013	商會；未鑒定的卷軸
2	1	150			Item|786	商會；黃金寶箱
2	1	39			Item|1153	商會；T2稀有玉佩
2	1	39			Item|1637	商會；T2傳承玉佩
2	40	49			Item|1154	商會；T3稀有玉佩
2	40	49			Item|1638	商會；T3傳承玉佩
2	50	59			Item|2106	商會；T4稀有玉佩碎片
2	50	59			Item|2109	商會；T4傳承玉佩碎片
2	60	69			Item|2107	商會；T5稀有玉佩碎片
2	60	69			Item|2110	商會；T5傳承玉佩碎片
2	70	79			Item|2108	商會；T6稀有玉佩碎片
2	70	79			Item|2111	商會；T6傳承玉佩碎片
2	80	89			Item|2961	商會；T7稀有玉佩碎片
2	80	89			Item|2964	商會；T7傳承玉佩碎片
2	90	99			Item|2962	商會；T8稀有玉佩碎片
2	90	150			Item|4873	商會；初級魂石·宋秋石
2	90	99			Item|2965	商會；T8傳承玉佩碎片
2	100	109			Item|2963	商會；T9稀有玉佩碎片
2	100	109			Item|2966	商會；T9傳承玉佩碎片
2	110	119			Item|3673	商會；T10稀有玉佩碎片
2	110	119			Item|3674	商會；T10傳承玉佩碎片
2	120	129			Item|5791	商會；T11稀有玉佩碎片
2	120	129			Item|5796	商會；T11傳承玉佩碎片
3	1	150			Item|1346	戰場：經驗
3	1	150			Contrib|0	戰場：貢獻
3	1	150			Item|1737	戰場：魂石·邵宏淵
3	1	150			Item|1738	戰場：魂石·白彥敬
3	60	150			Item|2535	戰場：魂石·李顯忠
3	60	150			Item|2536	戰場：魂石·徒單克寧
3	80	150			Item|3476	戰場：高級腳蹬碎片
3	1	39			Item|1143	戰場：T2稀有戒指
3	40	49			Item|1144	戰場：T3稀有戒指
3	50	59			Item|2100	戰場：T4稀有戒指碎片
3	60	69			Item|2101	戰場：T5稀有戒指碎片
3	70	79			Item|2102	戰場：T6稀有戒指碎片
3	80	89			Item|2955	戰場：T7稀有戒指碎片
3	90	99			Item|2956	戰場：T8稀有戒指碎片
3	100	109			Item|2957	戰場：T9稀有戒指碎片
3	110	119			Item|3671	戰場：T10稀有戒指碎片
3	120	129			Item|5771	戰場：T11稀有戒指碎片
4	1	150			Item|1343	藏寶圖；古董
4	60	150			Item|4464	藏寶圖；傢俱材料
4	1	150			Item|1381	藏寶圖；水晶
4	1	150			Item|786	藏寶圖；黃金寶箱
4	1	150			Item|785	藏寶圖；黃金鑰匙
4	1	150			Item|792	藏寶圖；古舊的寶箱
4	1	150			Coin|0	藏寶圖；銀兩
6	1	150			Contrib|0	懲惡；貢獻
6	1	150			Item|1346	懲惡；經驗
6	1	39			Item|1669	懲惡；T2傳承護腕
6	1	39			Item|1193	懲惡；T2稀有護腕
6	40	49			Item|1670	懲惡；T3傳承護腕
6	40	49			Item|1194	懲惡；T3稀有護腕
6	50	59			Item|2133	懲惡；T4傳承護腕碎片
6	50	59			Item|2130	懲惡；T4稀有護腕碎片
6	60	69			Item|2134	懲惡；T5傳承護腕碎片
6	60	69			Item|2131	懲惡；T5稀有護腕碎片
6	70	79			Item|2135	懲惡；T6傳承護腕碎片
6	70	79			Item|2132	懲惡；T6稀有護腕碎片
6	80	89			Item|2988	懲惡；T7傳承護腕碎片
6	80	89			Item|2985	懲惡；T7稀有護腕碎片
6	90	99			Item|2989	懲惡；T8傳承護腕碎片
6	90	99			Item|2986	懲惡；T8稀有護腕碎片
6	100	109			Item|2990	懲惡；T9傳承護腕碎片
6	100	109			Item|2987	懲惡；T9稀有護腕碎片
6	110	119			Item|3682	懲惡；T10傳承護腕碎片
6	110	119			Item|3681	懲惡；T10稀有護腕碎片
6	120	129			Item|5836	懲惡；T11傳承護腕碎片
6	120	129			Item|5831	懲惡；T11稀有護腕碎片
7	1	150			Item|1346	組隊秘境；經驗
