Key	HelpKey	Type	Time	Desc
ActivityQuestion	ActivityQuestionHelp	單人	全天	每天答題可獲得豐厚的獎勵，簡單又輕鬆，不要忘記參加喔！
Battle	BattleHelp	單人	每天[FFFE0D]16:30~17:00；20:30~21:00；22:30~23:00[-]	大型多人即時線上的真人群戰活動！活動中，你將代表宋方或者金方，與本方其他玩家一起，對抗另一方的玩家。
Boss	BossHelp	單人	每天中午[FFFE0D]12：30~13：00[-]，晚上[FFFE0D]19：30~20：00[-]	與武林盟主切磋獲得積分，最終根據排名決定獎勵，還可以搶奪其他參與俠士的積分！
CangBaoTu		單人	全天	每一張藏寶圖紙上都可能記錄著神秘寶藏的藏寶資訊。
ChuanGong		單人	全天	傳功後雙方可以獲得大量的經驗，雙方等級差需≥[FFFE0D]3級[-]；也可以找[FFFE0D]幫派總管[-]消耗被傳功次數打坐修煉，修煉完畢後可獲得經驗。
CommerceTask		單人	全天	完成萬金財委託的商會任務可以獲得豐厚的獎勵。
ExplorationFuben		單人	全天	豐厚的寶藏獎勵，等待著各位俠士前往探索！
FieldBoss	FieldBossHelp	單人	每天[FFFE0D]15:30[-]，[FFFE0D]22:00[-]時在名將所屬禁地刷新	前往名將所屬禁地擊殺歷代名將，將獲得豐厚獎勵！每日首次攻擊歷代名將會獲得一份額外獎勵！
FieldCrossBoss	FieldBossHelp	單人	每週一晚[FFFE0D]22:00[-]時在名將所屬禁地刷新	前往名將所屬禁地擊殺歷代名將，將獲得豐厚獎勵！每日首次攻擊歷代名將會獲得一份額外獎勵！
FieldLeader		單人/組隊	[FFFE0D]20級以上[-]野外地圖每天[FFFE0D]10:00[-]、[FFFE0D]14:00[-]、[FFFE0D]18:00[-]、[FFFE0D]23:00[-]刷新	20級以上野外地圖，會刷新多個野外首領，將其擊敗，可獲豐厚獎勵！每日完成首次擊殺，將獲額外獎勵！
KinGather		單人	每天[FFFE0D]19:15~19:25[-]	答題、烤火，歡樂的幫派相聚時間，不但可以和幫派成員相聚，更可以輕鬆獲得獎勵哦。
Pray		單人	週一至週四[FFFE0D]11：00~12：00[-]	通過祈福來獲得一些特殊的能力加成，對各種活動都是不可多得的助力哦！
PunishTask		組隊	全天	[FFFE0D]20級[-] 以上的野外地圖有武林惡徒出沒，專門打家劫舍、無惡不作，組成 [FFFE0D]3人及以上[-] 的隊伍剿滅他們，有豐厚的獎勵哦！
QunYingHui		單人	每週一~週五[FFFE0D]20:00~20:30[-]	一對一的即時匹配對戰玩法，可攜帶4個同伴出戰
RandomFuben	RandomFubenHelp	組隊	全天	江湖中傳聞凌絕峰不僅有最龐大的寶藏，而且有最頂尖的武林高手，只是危機與機遇並存，少俠是否能夠闖過重重險關？
Rank	RankHelp	單人	全天	可以一次攜帶四名同伴進行戰鬥，通過挑戰榜單上的其他俠士來提升自己的排名，排名越高獎勵越高！
TeamFuben	TeamFubenHelp	組隊	全天	與武林中志同道合的俠士結成隊伍，一同挑戰強力的敵人，更有機會獲得豐厚的獎勵哦！
AdventureFuben		組隊	全天	討伐無惡不作的山賊，維護武林秩序，更有機會獲得豐厚的獎勵！
HeroChallenge		單人	全天	與10名英雄進行挑戰。獲勝可得豐厚獎勵。每位英雄有2次挑戰機會，失敗2次後，就不能再繼續挑戰了
KinBattle		組隊	週三、週五[FFFE0D]20:50~21:30[-]	幫派與幫派的對戰活動
FactionBattle	FactionBattleHelp	單人	[FFFE0D]週三、周日21:00[-]開啟	本門派內部的對戰競技比賽。分晉級賽（群戰）和淘汰賽（單挑）2個階段。最終冠軍，榮膺本門派的[FFFE0D]新人王[-]！
WhiteTigerFuben	WhiteTigerFubenHelp	單人/組隊	11:00、13:00、15:00\n17:00、20:00、24:00	最兇殘的即時群戰活動，你只有1次生存機會！白虎堂共4層，擊敗每層首領就可以進入到下一層。每多進一層，就越有可能遇到其他玩家來搶奪
KinEscort		單人/組隊	週二、週四、週六\n[FFFE0D]20:00~22:00[-]	幫派成員一起共同護送鏢車。護送至終點後，可獲得獎勵。鏢車顏色越好，獎勵越高。護送過程中，小心敵對幫派的人前來劫鏢！
TeamBattle	TeamBattleHelp	組隊	週一、週四、週六\n[FFFE0D]21:00[-]、[FFFE0D]23:00[-]開啟	三人組隊的小隊競技對戰活動
XiuLian		單人/組隊	全天	組上一隊俠士，前往 [FFFE0D]野外地圖[-] 擊殺野怪可以獲得經驗獎勵。開啟修煉後更可獲得 [FFFE0D]10倍[-] 的打怪經驗哦！
KinFuben		單人	[FFFE0D]週二、週五21:00[-]開啟	幫派集體挑戰活動。成員一起前往試煉地圖內進行挑戰！
SeriesFuben		單人	全天	和江湖中的知名人物進行試煉挑戰。獲勝後可獲得經驗以及對應的鑲嵌魂石！
FactionMonkey		單人	00:00~24:00	月度門派大師兄/大師姐評選，給你心中門派候選人投票吧！不同頭銜對應的票數權重不同
DomainBattle	DomainHelp	單人/組隊	[FFFE0D]週二、週六21:00~21:45[-]	幫派集體群體對抗活動，成員一起為爭奪幫派領地、成為襄陽城主而戰。
CardCollection_1	CardCollection_1Help	組隊	全天	參加凌絕峰活動，通過各種挑戰後會獲得各種卡片作為憑證。收集起來進行為期一個月的排行，最終根據名次獲得高額獎勵。
HuaShanLunJian	HuaShanLunJianHelp	單人/組隊	每月7~27日週一、週三、週五、周日\n[FFFE0D]21:00[-]開啟	成立戰隊，參加華山論劍預選賽，根據積分排行，前八進入決賽。通過決賽的殘酷戰鬥，最終登頂華山之巔，成為武林至尊！
HuaShanLunJian1	HuaShanLunJianHelp	單人/組隊	每月28日\n[FFFE0D]21:00[-]開啟	華山論劍決賽即將開始，誰將最終登頂華山之巔，成為武林至尊？請拭目以待！
ImperialTomb	ImperialTombHelp	組隊	10:00~24:00	組隊前往秦始皇陵清除復活的秦朝士兵，有機會找到其中的密室爭奪寶藏！秦始皇陵內毒霧彌漫，不能常駐其中！
ImperialTombEmperor	ImperialTombEmperorHelp	組隊	[FFFE0D]週四、周日22:00[-]開啟	秦始皇再次現身於世，與幫派一同前往，將之擊敗，奪取大秦王朝千百年累積下來的珍寶！
WeekendQuestion		組隊		和異性角色組隊，根據線索尋找指定的武林俠客，進行愉快輕鬆的答題吧！
IdiomsAct		組隊	周六、周日	和異性角色組隊，通過擊敗小怪，進行名字的成語接龍！
DefendAct		組隊		和異性角色組隊，守護張如夢，擊退不斷出現的死士！
InDifferBattle	InDifferBattleHelp	單人/組隊	週二、週四、週六	3人組隊跨服無差別競技，所有俠士[FFFE0D]固定80級、不攜帶同伴、初始擁有相同的戰力水準[-]。擺脫裝備和等級的桎梏，感受純操作的競技快感！
DaXueZhang	DaXueZhang	組隊	每天[FFFE0D]13:30、16:00、20:00[-]	組隊或單人報名，進入飛雪飄飛的山崖，利用雪球和朋友一起戰鬥吧！
Muse	MuseHelp	單人	全天	冥想可以獲得大量元氣，元氣可用於凝聚真元。
ImperialTombFemaleEmperor	ImperialTombFemaleHelp	組隊	[FFFE0D]週四、周日22:00[-]開啟	女帝武則天復蘇，欲重現大周王朝的光輝，與幫派成員一同前往，將之擊敗，讓他們能夠再度安息！
