Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	AuraSkillId	AuraSkillLevel	TitleID	BigFaceID	DefaultDialog	DropType	ForbitMove	StartActEvent	Tag	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	WalkSpeed	IsNotShowShadow	FixExperience	SyncFirst	IsNotBYStealLife
Field_Header_1_1	115	寒玉鹿王	0	1	BossLeader		28	9009	10	602	153	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_luwang.ini			1	25	2																		1	
Field_Header_1_2	116	大地狼王	0	1	BossLeader		29	9010	10	602	146	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_langwang.ini			1	25	2																		1	
Field_Header_lv20_3	1455	白眉猴王	0	1	BossLeader		35	9012	10	602	153	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_langwang.ini			1	25	2																		1	
Field_Header_1_3	117	奔焰豹王	0	1	BossLeader		30	9011	10	602	157	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_baowang.ini			1	25	2																		1	
Field_Header_1_4	118	九尾狐王	0	1	BossLeader		26	9008	10	602	160	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_huwang.ini			1	25	2																		1	
Field_Header_1_40_3	1456	雙首異獸	0	1	BossLeader		34	9013	10	602	160	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_huwang.ini			1	25	2																		1	
Field_Header_2_1	119	定海金剛	0	1	BossLeader		40	9020	10	602	153	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_baowang.ini			1	25	2																		1	
Field_Header_2_2	120	金翅鵬皇	0	1	BossLeader		36	9021	10	602	160	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_huwang.ini			1	25	2																		1	
Field_Header_2_3	121	銀角犀皇	0	1	BossLeader		38	9022	10	602	153	1	91	1	195	1			Setting/Npc/Ai/fieldboss/20leader_luwang.ini			1	25	2																		1	
Field_Header_lv80_1	1997	赤睛虎皇	0	1	BossLeader		39	9024	10	602	3346	1	91	1	195	1			Setting/Npc/Ai/fieldboss/80leader_huhuang.ini			1	25	2																		1	
Field_Header_lv80_2	1998	撼天熊皇	0	1	BossLeader		37	9023	10	602	3353	1	91	1	195	1			Setting/Npc/Ai/fieldboss/80leader_xionghuang.ini			1	25	2																		1	
Field_Header_lv80_3	1999	紫背鱷皇	0	1	BossLeader		41	9025	10	602	3356	1	91	1	195	1			Setting/Npc/Ai/fieldboss/80leader_ehuang.ini			1	25	2																		1	
Field_Header_lv100_1	2217	冰鱗蜥皇	0	1	BossLeader		42	9026	10	602	3681	1	91	1	195	1			Setting/Npc/Ai/fieldboss/100leader_xihuang.ini			1	25	2																		1	
Field_Header_lv100_2	2218	銀鉤蠍皇	0	1	BossLeader		43	9027	10	602	3687	1	91	1	195	1			Setting/Npc/Ai/fieldboss/100leader_xiehuang.ini			1	25	2																		1	
Field_Header_lv100_3	2219	狂鬃獒皇	0	1	BossLeader		44	9028	10	602	3691	1	91	1	195	1			Setting/Npc/Ai/fieldboss/100leader_aohuang.ini			1	25	2																		1	
Field_Boss_1_1	123	高長恭	0	1	BossLeader		473	9001	10	701	1335	1	91	1	1065	2			Setting/Npc/Ai/fieldboss/30boss_gaochanggong.ini			1	25	2																		1	
Field_Boss_1_1_false	1480	高長恭	0	1	BossLeader		473	9001	10	701	1335	1	91	1	1065	2			Setting/Npc/Ai/fieldboss/30boss_gaochanggong.ini			1	25	2																		1	
Field_Boss_1_2	124	哲別	0	1	BossLeader		15	9002	10	701	129	1	91	1	1065	2			Setting/Npc/Ai/fieldboss/20boss_zhebie.ini			1	25	2			歷代名將															1	
Field_Boss_1_2_false	1481	哲別	0	1	BossLeader		15	9002	10	701	129	1	91	1	1065	2			Setting/Npc/Ai/fieldboss/20boss_zhebie.ini			1	25	2			歷代名將															1	
Field_Boss_1_3	125	袁承志	0	1	BossLeader		19	9003	10	701	117	1	91	1	1065	2			Setting/Npc/Ai/fieldboss/20boss_yuanchengzhi.ini			1	25	2																		1	
Field_Boss_1_3_false	1482	袁承志	0	1	BossLeader		19	9003	10	701	117	1	91	1	1065	2			Setting/Npc/Ai/fieldboss/20boss_yuanchengzhi.ini			1	25	2																		1	
Field_Boss_1_4	126	鼇拜	0	1	BossLeader		25	9004	10	701	110	1	91	1	1065	2			Setting/Npc/Ai/fieldboss/20boss_aobai.ini			1	25	2																		1	
Field_Boss_1_4_false	1483	鼇拜	0	1	BossLeader		25	9004	10	701	110	1	91	1	1065	2			Setting/Npc/Ai/fieldboss/20boss_aobai.ini			1	25	2																		1	
Field_Boss_1_5	1478	韓世忠	0	1	BossLeader		471	9006	10	701	110	1	91	1	1065	2			Setting/Npc/Ai/fieldboss/20boss_aobai.ini			1	25	2																		1	
Field_Boss_1_5_false	1484	韓世忠	0	1	BossLeader		471	9006	10	701	110	1	91	1	1065	2			Setting/Npc/Ai/fieldboss/20boss_aobai.ini			1	25	2																		1	
Field_Boss_1_6	1479	秦良玉	0	1	BossLeader		472	9007	10	701	110	1	91	1	1065	2			Setting/Npc/Ai/fuben/Boss6.ini			1	25	2																		1	
Field_Boss_1_6_false	1485	秦良玉	0	1	BossLeader		472	9007	10	701	110	1	91	1	1065	2			Setting/Npc/Ai/fuben/Boss6.ini			1	25	2																		1	
Field_Boss_2_1	127	荊軻	0	1	BossLeader		492	9014	10	702	2957	1	91	1	1065	2			Setting/Npc/Ai/fieldboss/60boss_jingke.ini			1	25	2																		1	
Field_Boss_2_1_false	1707	荊軻	0	1	BossLeader		492	9014	10	702	2957	1	91	1	1065	2			Setting/Npc/Ai/fieldboss/60boss_jingke.ini			1	25	2																		1	
Field_Boss_2_2	128	虞姬	0	1	BossLeader		493	9015	10	702	2965	1	91	1	1065	2			Setting/Npc/Ai/fieldboss/60boss_yuji.ini			1	25	2																		1	
Field_Boss_2_2_false	1708	虞姬	0	1	BossLeader		493	9015	10	702	2965	1	91	1	1065	2			Setting/Npc/Ai/fieldboss/60boss_yuji.ini			1	25	2																		1	
Field_Boss_2_2_kuafu	2497	虞姬	0	1	BossLeaderCallNpc		493	9015	10	704	2965	1	91	1	1065	2			Setting/Npc/Ai/fieldboss/110boss_kuafuyuji.ini			1	25	2																		1	
Field_Boss_2_2_kuafuF	2500	虞姬	0	1	BossLeaderCallNpc		493	9015	10	704	2965	1	91	1	1065	2			Setting/Npc/Ai/fieldboss/110boss_kuafuyuji.ini			1	25	2																		1	
