GoodsId	TemplateId	Name	Price	MoneyType	ShopType	Sort	Discount	LimitType	LimitNum	HotTip	TimeFrame	CloseTimeFrame	MinLevel	ShowLevel	ShowVipLevel	OpenTime	CloseTime
1	212	白水晶	12	Gold	Treasure	28											
2	222	绿水晶	50	Gold	Treasure	29											
3	213	破损的神秘矿石	50	Gold	Treasure	32											
4	214	普通的神秘矿石	200	Gold	Treasure	33											
5	223	蓝水晶	200	Gold	Treasure	30											
6	224	紫水晶	800	Gold	Treasure	31					OpenLevel69						
7	215	无暇的神秘矿石	800	Gold	Treasure	34					OpenLevel69						
8	785	黄金钥匙	20	Gold	Treasure	17											
9	1412	喇叭·世界频道	100	Gold	Treasure	21											
10	1413	千里传音	1000000	Gold	Treasure	23											
11	1927	陈年女儿红	1	Gold	Treasure	35											
12	1929	白驹丸	48	Gold	Treasure	24					OpenDay2D						
13	1930	特效白驹丸	240	Gold	Treasure	25					OpenDay2D				6		
14	2301	修炼丹	180	Gold	Treasure	15											
15	1016	强效同伴经验药水	5	Gold	Treasure	27											
16	2667	外装	1180	Gold	Treasure	39											
17	2706	外装2	3480	Gold	Treasure	40											
18	3310	外装3	3480	Gold	Treasure	41											
19	2569	染色剂	298	Gold	Treasure	5											
20	1342	特效同伴经验药水	50	Gold	Treasure	26					OpenLevel49						
21	1234	玫瑰花	20	Gold	Treasure	36											
22	1235	幸运草	20	Gold	Treasure	37											
23	2682	转门派令牌	500000	Gold	Treasure	19											
24	2759	传功丹	180	Gold	Treasure	16											
25	3368	金兰谱	12000	Gold	Treasure	11					OpenLevel79						
26	2180	99朵玫瑰花	388	Gold	Treasure	6											
27	2181	99棵幸运草	388	Gold	Treasure	7											
29	6151	真气丹（1000点）	10000	Gold	Treasure	13											
30	6152	真气丹（5000点）	20000	Gold	Treasure	14											
31	6155	缘定今生	5210	Gold	Treasure	10					OpenLevel69						
32	6231	三生石	5210	Gold	Treasure	12					OpenLevel69						
33	2527	馬牌	1000	Gold	Treasure	2											
34	788	高級藏寶圖	2888	Gold	Treasure	50											
35	4732	3級傢俱材料12選禮盒	1000	Gold	Treasure	42											
36	4734	5級傢俱材料3選禮盒	3000	Gold	Treasure	43											
37	3693	SS級本命武器挑選禮盒	1000000	Gold	Treasure	45											
38	1969	资质丹	800	Gold	Treasure	46											
39	1968	洗髓丹	400	Gold	Treasure	47											
40	2396	高级修为书	20000	Gold	Treasure	48											
41	6091	SS級同伴挑選寶箱	1500000	Gold	Treasure	49											
42	4687	黎飾高級寶箱	200000	Gold	Treasure	1	
43	4443	1級傢俱材料包	1000	Gold	Treasure	118									
44	4731	2級傢俱材料24選禮盒	3000	Gold	Treasure	117
45	4733	4級傢俱材料6選禮盒	3000	Gold	Treasure	120
1000	212	白水晶	10	Gold	Treasure	1	6	7	100								
1001	222	绿水晶	40	Gold	Treasure	2	8	7	100								
1004	213	破损的神秘矿石	30	Gold	Treasure	5	6	7	20								
1005	214	普通的神秘矿石	160	Gold	Treasure	6	8	7	20								
1007	1234	玫瑰花	16	Gold	Treasure	8	3	7	100								
1008	1235	幸运草	12	Gold	Treasure	9	3	7	100								
1500	3518	3级魂石任选箱	10000	Gold	Treasure	10	7	7	999								
1501	2699	4级魂石任选箱	90000	Gold	Treasure	11	7	7	999								
1031	2161	5级同伴技能书	300000	Gold	Treasure	12	8	7	999								
1032	2160	4级同伴技能书	100000	Gold	Treasure	13	8	7	999								
1033	786	黄金宝箱	100000	Gold	Treasure	14	8	7	9999								
1034	2166	5級魂石箱	250000	Gold	Treasure	15	8	7	9999								
1035	4816	元氣瓶（中）	6000	Gold	Treasure	16	8	7	500								
1036	4817	元氣瓶（大）	20000	Gold	Treasure	17	8	7	9999								
1037	6149	任脉·曲骨通穴秘卷	500000	Gold	Treasure	18	5	7	100								
1038	6150	督脉·长强通穴秘卷	500000	Gold	Treasure	19	7	7	100								
1039	6276	冲脉·幽门通穴秘卷	500000	Gold	Treasure	20	7	7	100								
1040	4687	黎飾高級寶箱	200000	Gold	Treasure	3	6	7	5								
2000	4448	T6时装天王1	3960	SilverBoard	Dress	15											
2001	4449	T6时装峨眉1	3960	SilverBoard	Dress	16											
2002	4450	T6时装桃花1	3960	SilverBoard	Dress	17											
2003	4451	T6时装逍遥1	3960	SilverBoard	Dress	18											
2004	4452	T6时装武当1	3960	SilverBoard	Dress	19											
2005	4453	T6时装天忍1	3960	SilverBoard	Dress	20											
2006	4454	T6时装少林1	3960	SilverBoard	Dress	21											
2007	4455	T6时装翠烟1	3960	SilverBoard	Dress	22											
2008	4456	T6时装唐门1	3960	SilverBoard	Dress	23											
2009	4457	T6时装昆仑1	3960	SilverBoard	Dress	24											
