SubKind	ParentKind	Level	FinishCount	NeedPush	ListType	Title	Desc	Award	AwardTitle
Chat_Private	Chat	1	1			竊竊私語	密聊其他玩家	Gold|5	
Chat_Emotion	Chat	2	1			言辭並茂	在任意頻道發送表情	Gold|5	
Chat_Voice	Chat	3	1			餘音繞梁	成功使用語音聊天	Gold|5	
Chat_Public	Chat	4	1			大家好！	發送公聊資訊	Gold|5	
Chat_Color	Chat	5	1			千里傳音	發送彩聊資訊	Gold|10	
Angry_Normal	Angry	1	1			我火大！	釋放怒氣技能	Gold|5	
QuickTeamUp_Normal	QuickTeamUp	1	1			快速組隊	使用快速組隊成功參與一次組隊活動	Gold|5	
Prison_1	Prison	1	1			追影令	第1次通過追影令挑戰其他玩家	Gold|5	
Title_Normal	Title	1	1			江湖名號	獲得一個稱號	Gold|10	
Title_Purple	Title	2	1			小有名氣	獲得一個紫色稱號	Gold|30	
Title_Pink	Title	3	1			名聲在外	獲得一個粉色稱號	Gold|50	
Title_Orange	Title	4	1	1		聲名顯赫	獲得一個橙色稱號	Gold|100	
Title_Gold	Title	5	1	1		名動江湖	獲得一個金色稱號	Gold|300	
Partner_1	Partner	1	1			天涯相伴	第一次獲得同伴	Gold|5	
Partner_2	Partner	2	1			江湖豪傑	第一次獲得A級以上的同伴	Gold|5	
Partner_3	Partner	3	1			人員齊整	出戰滿4個同伴	Gold|10	
Partner_4	Partner	4	1			一流俠客	第一次獲得S級以上的同伴	Gold|30	
Partner_5	Partner	5	1	1		共覽眾山小	出戰滿4個S級以上的同伴	Gold|100	1000
FriendFamiliar_1	FriendFamiliar	1	3			清交素友	與3個好友的親密度達到5級	Gold|30	
FriendFamiliar_2	FriendFamiliar	2	3			情深意重	與3個好友的親密度達到10級	Gold|50	
FriendFamiliar_3	FriendFamiliar	3	3			肝膽相照	與3個好友的親密度達到20級	Gold|100	
FriendFamiliar_4	FriendFamiliar	4	3			相交莫逆	與3個好友的親密度達到30級	Gold|300	
FriendFamiliar_5	FriendFamiliar	5	3	1		情同生死	與3個好友的親密度達到40級	Gold|500	1002
Foe_1	Foe	1	1			挑戰敵人	第1次通過敵人介面挑戰其他玩家	Gold|5	
Family_1	Family	1	1			人在江湖	成功加入幫派	Gold|5	
Family_2	Family	2	1			溫馨港灣	進入幫派地圖	Gold|5	
Family_3	Family	3	1			幫派禮物	成功獲取一個幫派禮盒	Gold|5	
Family_4	Family	4	1			裝備打造	在幫派作坊打造1次裝備	Gold|10	
Family_5	Family	5	1			幫派烤火	參與1次幫派烤火活動	Gold|20	
GetMeFight_1	GetMeFight	1	1			傳功	累計傳功或被傳功1次	Gold|10	
GetMeFight_1	GetMeFight	2	3			漸入佳境	累計傳功或被傳功3次	Gold|10	
GetMeFight_1	GetMeFight	3	10			功力深厚	累計傳功或被傳功10次	Gold|20	
GetMeFight_1	GetMeFight	4	30			修為精湛	累計傳功或被傳功30次	Gold|30	1006
GetMeFight_1	GetMeFight	5	100	1		爐火純青	累計傳功或被傳功100次	Gold|50	1007
FamilyContribute_1	FamilyContribute	1	1			幫派捐獻	完成1次幫派捐獻	Gold|10	
FamilyContribute_1	FamilyContribute	2	10			無私捐獻	完成10次幫派捐獻	Gold|20	
FamilyContribute_1	FamilyContribute	3	50			功勳卓著	完成50次幫派捐獻	Gold|30	
FamilyContribute_1	FamilyContribute	4	200			頂樑柱	完成200次幫派捐獻	Gold|50	
FamilyContribute_1	FamilyContribute	5	1000	1		千金散盡還複來	完成1000次幫派捐獻	Gold|100	1008
FamilyContribute_1	FamilyContribute	6	10000	1	1	富可敵國	完成10000次幫派捐獻	Gold|500;Item|4250|1	
PayOff_1	PayOff	1	1			幫派薪水	領取1次幫派薪水	Gold|10	
PayOff_1	PayOff	2	100			多勞多得	累計領取的幫派薪水超過100元寶	Gold|20	
PayOff_1	PayOff	3	1000			積極分子	累計領取的幫派薪水超過1000元寶	Gold|30	
PayOff_1	PayOff	4	3000			幫派資深成員	累計領取的幫派薪水超過3000元寶	Gold|50	
PayOff_1	PayOff	5	10000			幫派核心成員	累計領取的幫派薪水超過10000元寶	Gold|100	
FirstAuctionDeal_1	FirstAuctionDeal	1	1			拍賣行	進入拍賣行查看	Gold|5	
FirstAuctionDeal_2	FirstAuctionDeal	2	1			商品競拍	成功從拍賣行中拍到一件物品	Gold|20	
EquipRefinement_1	EquipRefinement	1	1			裝備洗練	成功完成一次裝備洗練	Gold|5	
EquipRefinement_2	EquipRefinement	2	1			細心打磨	將身上一件裝備洗滿6條屬性	Gold|10	
EquipRefinement_3	EquipRefinement	3	1			精心雕琢	將一條橙色屬性洗練到裝備上	Gold|20	
EquipRefinement_4	EquipRefinement	4	1	1		千錘百煉	將身上一件裝備洗滿6條紫色以上屬性	Gold|50	
EquipRefinement_5	EquipRefinement	5	1	1		神兵寶甲	身上所有裝備洗滿6條紫色以上屬性	Gold|100	
EnhanceOnce_1	EnhanceOnce	1	1			裝備強化	裝備強化成功	Gold|5	
EnhanceFailure_1	EnhanceFailure	1	1			運氣不佳	裝備強化連續失敗三次	Gold|10	
EnhanceMaster_1	EnhanceMaster	1	10			強化學徒	全身裝備強化+5以上	Gold|10	
EnhanceMaster_2	EnhanceMaster	2	10			強化專家	全身裝備強化+20以上	Gold|20	
EnhanceMaster_3	EnhanceMaster	3	10			強化巨匠	全身裝備強化+40以上	Gold|30	
EnhanceMaster_4	EnhanceMaster	4	10	1		強化大師	全身裝備強化+60以上	Gold|50	1009
EnhanceMaster_5	EnhanceMaster	5	10	1		強化宗師	全身裝備強化+80以上	Gold|100	1010
EnhanceMaster_6	EnhanceMaster	6	10	1	1	強化聖匠	全身裝備強化+100以上	Gold|500;Item|4247|1	
InsetOnce_1	InsetOnce	1	1			裝備鑲嵌	在裝備上鑲嵌一顆魂石	Gold|5	
InsetFull_1	InsetFull	1	1			無孔不入	將一件裝備鑲嵌滿四顆魂石	Gold|10	
InsetMaster_1	InsetMaster	1	1			鑲嵌學徒	鑲嵌20個1級以上魂石	Gold|20	
InsetMaster_2	InsetMaster	2	1			鑲嵌專家	鑲嵌20個2級以上魂石	Gold|30	
InsetMaster_3	InsetMaster	3	1			鑲嵌巨匠	鑲嵌20個3級以上魂石	Gold|50	
InsetMaster_4	InsetMaster	4	1	1		鑲嵌大師	鑲嵌20個4級以上魂石	Gold|50	1011
InsetMaster_5	InsetMaster	5	1	1		鑲嵌宗師	鑲嵌20個5級以上魂石	Gold|100	1012
InsetMaster_6	InsetMaster	6	1	1	1	鑲嵌聖匠	鑲嵌40個6級以上魂石	Gold|500;Item|4249|1	
PerfectDay_1	PerfectDay	1	20			好的開始	每日目標完成度達到20	Gold|5	
PerfectDay_1	PerfectDay	2	60			再接再厲	每日目標完成度達到60	Gold|10	
PerfectDay_1	PerfectDay	3	80			勤勤懇懇	每日目標完成度達到80	Gold|20	
PerfectDay_1	PerfectDay	4	100			完美的一天	每日目標完成度達到100	Gold|30	
PerfectDay_2	PerfectDay	5	1	1		完美的一周	連續7天每日目標完成度均達到100	Gold|100	
SignIn_1	SignIn	1	1			初來乍到	領取1次簽到獎勵	Gold|5	
SignIn_1	SignIn	2	3			我又來了	領取3次簽到獎勵	Gold|10	
SignIn_1	SignIn	3	10			劍俠十日游	領取10次簽到獎勵	Gold|20	
SignIn_1	SignIn	4	30			江湖豪俠	領取30次簽到獎勵	Gold|30	
SignIn_1	SignIn	5	100	1		真正的劍俠	領取100次簽到獎勵	Gold|50	1017
MoneyTree_1	MoneyTree	1	1			搖錢樹	使用搖錢樹1次	Gold|5	
MoneyTree_1	MoneyTree	2	10			錢如雨下	使用搖錢樹10次	Gold|10	
MoneyTree_1	MoneyTree	3	50			招財進寶	使用搖錢樹50次	Gold|20	
MoneyTree_1	MoneyTree	4	200			財源廣進	使用搖錢樹200次	Gold|30	1020
MoneyTree_1	MoneyTree	5	1000	1		財神降臨	使用搖錢樹1000次	Gold|50	1021
CommerceTask_1	CommerceTask	1	1			商會任務	完成一個商會任務	Gold|5	
CommerceTask_2	CommerceTask	2	1			幫派助力	成功尋求一次幫派成員的幫助	Gold|10	
CommerceTask_3	CommerceTask	3	1			牛刀小試	完成1輪商會任務	Gold|10	
CommerceTask_3	CommerceTask	4	10			輕車熟路	完成10輪商會任務	Gold|20	
CommerceTask_3	CommerceTask	5	100	1		商行天下	完成100輪商會任務	Gold|50	1024
Cangbaotu_1	Cangbaotu	1	1			挖寶	成功挖寶1次	Gold|5	
Cangbaotu_2	Cangbaotu	2	1			裡面是什麼？	挖到古舊的箱子	Gold|10	
Cangbaotu_3	Cangbaotu	3	1			鴻運當頭	挖到藍色品質以上的物品	Gold|10	
Cangbaotu_1	Cangbaotu	4	200			尋寶者	成功挖寶200次	Gold|30	1025
