SuitIndex	ItemId	
1	2764	T6黃金武器
1	2779	T6黃金帽子
1	2782	T6黃金衣服
1	2788	T6黃金腰帶
1	2767	T6黃金項鍊
1	2773	T6黃金玉佩
1	2765	T7黃金武器
1	2780	T7黃金帽子
1	2783	T7黃金衣服
1	2789	T7黃金腰帶
1	2768	T7黃金項鍊
1	2774	T7黃金玉佩
1	2766	T8黃金武器
1	2781	T8黃金帽子
1	2784	T8黃金衣服
1	2790	T8黃金腰帶
1	2769	T8黃金項鍊
1	2775	T8黃金玉佩
1	3619	T9黃金武器
1	3629	T9黃金帽子
1	3631	T9黃金衣服
1	3635	T9黃金腰帶
1	3621	T9黃金項鍊
1	3625	T9黃金玉佩
1	3620	T10黃金武器
1	3630	T10黃金帽子
1	3632	T10黃金衣服
1	3636	T10黃金腰帶
1	3622	T10黃金項鍊
1	3626	T10黃金玉佩
1	5360	T11黃金武器
1	5390	T11黃金帽子
1	5385	T11黃金衣服
1	5400	T11黃金腰帶
1	5365	T11黃金項鍊
1	5375	T11黃金玉佩
